batch,split,batch_size,segmentation_known_rows,empty_spatial_rows,segmentation_loss,base_segmentation_loss,weighted_hard_empty_loss,cosine_hard_vs_base_segmentation,hard_empty_grad_norm,base_segmentation_grad_norm,hard_to_base_grad_norm_ratio,weighted_classification_loss,cosine_segmentation_vs_classification_total,cosine_base_segmentation_vs_classification_total,cosine_hard_empty_vs_classification_total,classification_total_grad_norm,classification_to_segmentation_grad_norm_ratio,weighted_any_ich_classification_loss,any_ich_positive_rows,cosine_segmentation_vs_any_ich,cosine_base_segmentation_vs_any_ich,cosine_hard_empty_vs_any_ich,any_ich_classification_grad_norm,any_ich_to_segmentation_grad_norm_ratio,weighted_ivh_classification_loss,ivh_positive_rows,cosine_segmentation_vs_ivh,cosine_base_segmentation_vs_ivh,cosine_hard_empty_vs_ivh,ivh_classification_grad_norm,ivh_to_segmentation_grad_norm_ratio,weighted_sah_classification_loss,sah_positive_rows,cosine_segmentation_vs_sah,cosine_base_segmentation_vs_sah,cosine_hard_empty_vs_sah,sah_classification_grad_norm,sah_to_segmentation_grad_norm_ratio
0,train,16,16,11,0.44259345531463623,0.4424377381801605,0.00015572320262435824,-0.018157409180272352,0.0027359636396287325,0.8390771989071599,0.0032606816669457066,0.010171439498662949,0.07705297344421123,0.07659113568432943,0.2719857723865225,0.20618567045911998,0.24574804335675862,0.002703211735934019,5,0.13013822839506903,0.12966552358307437,0.262529480477577,0.10295633924934317,0.12271133520269137,0.001187679241411388,2,0.05374247734944459,0.055559663125675784,0.05760242890355211,0.06460187984209993,0.07699752137485298,0.001588626066222787,1,-0.020952355220565,-0.021139238537836513,0.16364343568482567,0.054954950307907154,0.06549956396515783
1,train,16,16,6,0.24019818007946014,0.24013765156269073,6.052145181456581e-05,0.13232676608687796,0.000463426505389385,0.5643501847802954,0.0008211683417270421,0.003384675830602646,0.06960730703419662,0.06997122654454613,-0.005284935452658227,0.06694007434880273,0.11881813990249152,0.0006429145578294992,10,0.02664266453913319,0.027916911717533188,-0.02992937670341345,0.03444090947088754,0.061132361140769385,0.00017395478789694607,4,0.04943418129463284,0.048577637135714315,-0.014923482377805284,0.008734147525532868,0.015503047654388001,0.0002966193133033812,2,0.04893286733498466,0.04819268895901338,-0.07878772319333492,0.009450158117945523,0.01677396119263199
2,train,16,16,7,0.1538759171962738,0.15382593870162964,4.9974372814176604e-05,0.08338637692179483,0.0006299733494926651,0.5066346485663997,0.0012434470308639,0.00866799894720316,0.05274041066039464,0.052033483383427975,0.06556701818718266,0.128205089147237,0.2529961984753498,0.0003494177362881601,9,0.1129691845694389,0.11287079093374859,0.08133150617491632,0.01899629123456776,0.037486729266705,0.000955429335590452,3,0.05389670907974746,0.05461372539761779,0.005761313587445518,0.03934844768429175,0.07764908356016334,0.002554912120103836,0,-0.0029179347097315436,-0.0033582233552244796,-0.006927861884164712,0.06613751289485158,0.1305138466055385
3,train,16,16,10,0.15268592536449432,0.14807264506816864,0.004613287281244993,0.14302216882251156,0.36025324010688964,0.6839677742742382,0.5267108388098493,0.019376596435904503,0.06670626249938091,0.04497553241253148,0.06540285924212601,0.26841009446464925,0.32819281436497943,0.0035199932754039764,6,0.119294497287195,0.08458127163043902,0.10839475916869508,0.11280883048926096,0.13793463184510948,0.0052383532747626305,0,0.017600078632221003,0.040042267354653625,-0.03522879030467889,0.14348644555676415,0.17544504234994016,0.004181252792477608,0,-0.04806201255502716,-0.0359145980970345,-0.03950717986497055,0.09971114951093898,0.12191971709123726
4,train,16,15,6,0.1883031576871872,0.1882694959640503,3.365851807757281e-05,0.23898865587924167,0.00031985485113180116,0.4066399076257613,0.0007865800801483801,0.010740092024207115,-0.00800764085578881,-0.0069740553675533236,-0.08202494633871131,0.31754418120457734,0.7807078214673127,0.008179009892046452,10,-0.004190106651680782,-0.003155988836118078,-0.06414424518185267,0.3144349158341358,0.773063443338534,0.0007665919838473201,2,0.060014912292510936,0.05979041167568626,0.0071666727207552305,0.039675393052618725,0.09754513390378831,0.00036790486774407327,2,-0.06026909843344086,-0.06018661375627893,0.010696336293499167,0.017870876945625492,0.04393698336717809
5,train,16,14,6,0.17711932957172394,0.1770661473274231,5.317902468959801e-05,0.06644106107793339,0.0005270401345824517,0.8409913727508285,0.0006266891096142134,0.008419100195169449,0.10717213000644274,0.10778214377200013,0.04061535254193085,0.16885798572393637,0.2007882909726044,0.0022950554266572,10,0.04776799264777749,0.04696734904377711,0.07469750793789863,0.12402036440783146,0.14747207192178502,0.0007161543471738696,5,-0.004266674898861876,-0.0027351378529982917,-0.04995450035847917,0.05270164676936879,0.06266729726104632,0.0014389010611921549,1,-0.043049780857116283,-0.042805208203528844,0.062238111767163255,0.06203389286595676,0.07376423020523716
6,train,16,16,8,0.1639624983072281,0.1638897806406021,7.271587674040347e-05,0.10789535789063233,0.000784717318354209,0.4237987258813374,0.0018516273656139493,0.012418949976563454,0.023851756012999974,0.02374223370998142,0.05099943490672238,0.23697981251715353,0.5601866405973933,0.0008604044560343027,8,0.0962765398484832,0.09601702675298791,0.14488358595369716,0.06229660953971142,0.14726034276076755,0.004744534846395254,1,0.010584384185803703,0.009862245487476991,0.09849233786813633,0.15837454130474296,0.37437493644415476,0.0008244888740591705,0,-0.04079411363680273,-0.041086136711552444,-0.018860518524640303,0.02816463397774431,0.06657719712098156
7,train,16,16,8,0.23327642679214478,0.2330053746700287,0.00027105011395178735,-0.2524922299976362,0.00983124110552108,1.0236538568348614,0.009604067859343866,0.009401796385645866,0.0844994449665255,0.08338432906188785,0.053446157112098575,0.19647560582446222,0.19239069921219343,0.00039873665082268417,8,-0.03930085858038845,-0.04045934186950708,0.12449340205026384,0.018360806625609592,0.017979068749923638,0.0009213673183694482,4,-0.0036652926826963588,-0.004721387293965483,0.16775099793294404,0.04348210475706867,0.042578072236124545,0.0033529147040098906,1,-0.034506298673237595,-0.035086577110248394,0.049006210443116496,0.08507076767473465,0.08330206901147272
8,train,16,15,5,0.20452040433883667,0.20428472757339478,0.0002356758195674047,0.08874275296306142,0.009386075052455197,0.5703216734165528,0.016457510717113804,0.015509504824876785,0.1030903789148706,0.10418853518299713,-0.025990230255590684,0.21255761294074357,0.3722515458627556,0.0013028515968471766,11,0.2140630979147248,0.21455747321211008,0.02175818406136065,0.06156046540338263,0.10781066880360735,0.0055422112345695496,3,0.041812578638714674,0.04280359989020759,-0.01602832405473073,0.13056492911751136,0.2286579907773248,0.0007554404437541962,1,-0.029726328627459615,-0.02865784990615241,-0.06421323871202729,0.032685667491164964,0.057242316954952584
9,train,16,16,7,0.21162773668766022,0.21155908703804016,6.86469575157389e-05,-0.03693712975649533,0.0007924065975831116,0.3761655830349255,0.002106536677784102,0.01000535860657692,-0.03867485218975712,-0.038723284153720075,0.04489797096150869,0.1905375353407986,0.5062789443382409,0.0006733561167493463,9,0.024933930960492418,0.02462517605227118,0.09528288645475172,0.02516767547000318,0.0668732496492638,0.0022982945665717125,3,-0.03046481931753331,-0.03023621731680431,-0.010073437793866121,0.09228816323886804,0.24521968217925585,0.0020391694270074368,1,-0.038064448500997744,-0.03838921710812773,0.011401555614571126,0.08665775128319803,0.23025906554270983
10,train,16,15,8,0.27632901072502136,0.27602970600128174,0.0002992984664160758,0.02168071922550237,0.016550421384341634,1.2144650941397657,0.013627745634027208,0.018119508400559425,-0.0609220456357016,-0.061699016625069825,0.0790494880205099,0.45598483265856904,0.3753720182220823,0.00586253497749567,8,-0.011388147172785237,-0.012445547834954386,0.12170265929593346,0.25349043001303534,0.2086762705662737,0.005270830821245909,1,-0.07544297179720065,-0.07442614427617597,-0.036365820092500646,0.13044741055278747,0.107385825720456,0.0009154467843472958,2,-0.046392192227415696,-0.046675728101946666,0.059573602176499894,0.05648291088026742,0.04649738924114531
11,train,16,15,5,0.23196694254875183,0.2319025695323944,6.437786214519292e-05,-0.06678627558622346,0.001948086079060697,0.6103446087105439,0.0031917805961723133,0.022923246026039124,0.1924551540527677,0.1914248816733283,0.08205131331190953,0.3309750814767006,0.5416130753173177,0.006142463069409132,11,0.17186870839446175,0.17018083390438712,0.17620363029662248,0.25055774646607576,0.41001682363093916,0.0010907527757808566,4,-0.04742431671762092,-0.04680410831852828,-0.05062025910000762,0.05838172268365954,0.09553681269278756,0.000839513901155442,2,-0.00043067723590646393,-0.001338271720016587,0.15743192086252342,0.035027205590389764,0.05731909621395
12,train,16,16,8,0.20001772046089172,0.19998180866241455,3.591410131775774e-05,-0.032912313359021825,0.00030190322871984744,0.44444920737150406,0.0006792749851109399,0.015348563902080059,0.22239797847070938,0.22230069873792116,0.09149382495473053,0.49557640266914205,1.1176233033179188,0.003187792841345072,8,0.15948376658711702,0.15891754781595305,0.06259933026873678,0.1600399620349954,0.36092192862507977,0.007225055247545242,5,0.1951857417579719,0.19539903228036498,0.09357073250719075,0.43344971393622767,0.9775152701026252,0.00020562838471960276,2,-0.10094842983604818,-0.10175678349237953,0.0894943738520123,0.011442994518060077,0.02580622738339165
13,train,16,15,8,0.13317261636257172,0.13310785591602325,6.47536653559655e-05,0.18797339133222876,0.00043240400517911864,0.7495758404434607,0.0005768649172621435,0.012584364041686058,0.009688682684690988,0.009936591565953815,-0.08451415669956314,0.3327538632995671,0.44397303902511087,0.0018918511923402548,8,0.0011432193188558174,0.0016392254269004007,-0.07591145586962753,0.11145491120690944,0.14870744144676576,0.0022361737210303545,2,-0.041439251693281394,-0.041385175939805174,-0.08341201949944275,0.08309903478296858,0.1108739374107094,0.0021374253556132317,1,0.05314632508568719,0.05301980169775309,-0.0713889966183856,0.06759381338967295,0.09018627297767086
14,train,16,14,8,0.10161478817462921,0.09889670461416245,0.002718082396313548,0.6789300038636249,0.23687221948792628,0.43439867787466313,0.5452876160831017,0.01120244711637497,0.24842403498015428,0.2093636763347006,0.26340557624405425,0.20558928725429607,0.3312682817830306,0.00041193736251443624,8,0.2940998526326759,0.24117871898153484,0.32724464719297797,0.02595475253639095,0.041821178484845005,9.804078581510112e-05,4,-0.033411882350700396,-0.04091692781228269,-0.010317055444478428,0.003916743507392816,0.006311091930942749,0.0017303548520430923,0,0.03584565684372575,0.016000062031903513,0.06513573263104405,0.06324597374555063,0.10190893373966603
15,train,16,15,8,0.3257780075073242,0.32572150230407715,5.651267201756127e-05,0.25541939713683254,0.0007260711309014497,0.6661723539561292,0.0010899148344863095,0.012242721393704414,-0.019872150678332572,-0.019198227123580977,-0.021546249040923632,0.23104769705759948,0.3461805558925432,0.0009056477574631572,8,0.037871119566346756,0.038286021710454414,-0.11514561941083667,0.04845965244328852,0.0726074729798969,0.0008284192881546915,5,-0.0950348100429261,-0.09469554908778229,0.035135457045947414,0.061677269920697296,0.09241153172696877,0.0014427172718569636,3,0.12358437915181578,0.12347348879531189,0.10527304945164787,0.0551164242839989,0.0825813658410426
16,train,16,16,9,0.12272428721189499,0.12268835306167603,3.5933833714807406e-05,-0.2837341181773002,0.0003486227455838383,0.6599991271430102,0.0005282169797601837,0.01032542996108532,-0.13104259473607258,-0.13107038919206604,0.04020292368980826,0.44427491809312114,0.6728110723261989,0.0013974274042993784,7,-0.2886930504526966,-0.28862500171271094,0.04820495941022768,0.06396293908016817,0.09686563854735333,0.0057747624814510345,3,-0.05853188866514045,-0.058706109135160965,0.040474027491012074,0.4352782804655212,0.65918654129137,0.0006388601614162326,1,-0.0030004664479907307,-0.0029935349222161454,0.040926057562639416,0.02111411962075029,0.03197527675933995
17,train,16,15,10,0.11111293733119965,0.11070632189512253,0.00040661217644810677,0.21706687528462515,0.014858698984958708,0.6177860054769259,0.02405153055140495,0.016524210572242737,0.09675756309318743,0.09052460677580544,0.2908561665936651,0.32302838600303396,0.5199041451900773,0.0035995538346469402,6,0.12334854170161666,0.1185430639436546,0.235004985643552,0.1336929569668112,0.21517465808441658,0.003990392200648785,1,0.13760084797116034,0.13247087974342828,0.23284875795495805,0.14967632256705657,0.24089938813825776,0.002557864412665367,0,-0.06886924600427616,-0.07360813010606693,0.20143080061373578,0.10223194409291433,0.16453913590196745
18,train,16,14,8,0.24514897167682648,0.24502429366111755,0.0001246831234311685,0.052179576779971,0.004716492862681323,0.9903595840469629,0.004762404422248381,0.02361948788166046,-0.04453197407424236,-0.04413679079241995,-0.0648324247605842,0.34036717506625436,0.34331630034279453,0.011865470558404922,8,0.021303302966310184,0.02089353007828345,0.03952016957361873,0.2554274069289338,0.2576405681186067,0.000168916056281887,3,-0.06352712666815913,-0.06356273686915455,0.04318888574824438,0.008205709553736083,0.008276808258986258,0.006384685635566711,1,-0.0336811009786373,-0.032151727988198604,-0.1363031824945746,0.16716958301988705,0.1686180306930702
19,train,16,16,7,0.13492876291275024,0.13484323024749756,8.553104271413758e-05,-0.12439898276097323,0.0039642140153840835,0.28292277708897745,0.01401164676867767,0.008155738934874535,0.03283460985873689,0.03154840496782522,0.1256208137247985,0.21217075234878627,0.7512938913278236,0.0008477891678921878,9,-0.2173658551494216,-0.22147499890859987,0.3588422764219801,0.048683973634006714,0.17238932129847492,0.0012684481916949153,2,0.23139713941300713,0.23190675931847862,-0.0933984353736145,0.0557810502724826,0.19751997793114365,0.002189166843891144,0,0.07484668311953384,0.07517370321307514,0.03468766558410372,0.0704465088909223,0.24945017731810812
20,train,16,16,12,0.2698681652545929,0.2695706784725189,0.00029748567612841725,0.04662486896078425,0.04054508149109643,1.0941625173512113,0.037055812868868374,0.022517547011375427,-0.15535467119580035,-0.15292084196814285,-0.07319003577453496,0.3055957974220233,0.2786304119190121,0.009718690067529678,4,-0.11240574007802498,-0.1098762432516168,-0.0702066778432097,0.19131962208895587,0.17443782133305544,0.0026642135344445705,2,-0.0935797471254341,-0.09144478112140077,-0.04464869603894416,0.07160118833359687,0.06528319030424962,0.0021703613456338644,0,-0.148617385542355,-0.14621725788581247,-0.06062119939334827,0.06382374436931956,0.05819201812935553
21,train,16,16,9,0.33713626861572266,0.33707210421562195,6.416881660697982e-05,0.025868794180948854,0.0009212898387866801,1.5533474855003377,0.0005930996427949474,0.011637918651103973,-0.018774663984973204,-0.018840218429457562,0.006597556376333637,0.16691184980935747,0.10762740313633287,0.000674899376463145,7,0.2689009524477419,0.2692268407168397,-0.07348649868134031,0.03164028450128317,0.02040215634334763,0.0053544361144304276,1,-0.10070226418326363,-0.10035038002715091,-0.02747861562534213,0.12339580792759591,0.07956757042909673,0.0009487273055128753,2,0.021006665064302106,0.020971021447086777,0.04690929282346351,0.04146731179054538,0.02673877911100132
22,train,16,16,9,0.15576687455177307,0.15571355819702148,5.330919520929456e-05,0.44125592808241465,0.00166800368485345,0.8229637189083703,0.002026825298041076,0.009003113955259323,0.02820352931671754,0.02789688378767878,0.04971185475176439,0.1378414649029882,0.16729734871004676,0.0003333895583637059,7,0.010446857507160023,0.010019421461854076,-0.04662444733676428,0.015797752042572742,0.019173635699252137,0.00038042766391299665,3,0.045691266585296396,0.0458471119963823,-0.029425830170402168,0.014962365415639636,0.018159732024243327,0.00041213969234377146,2,-0.003393778633914334,-0.004815521520057529,0.011323075205167427,0.01581681470920626,0.01919677194195948
23,train,16,15,9,0.28211888670921326,0.28194913268089294,0.0001697610568953678,-0.034735154751696445,0.0043710795927642595,0.880378621463577,0.0049649997014893435,0.012029407545924187,0.0036791814225858124,0.0035152089945305882,-0.018726625475138328,0.23829550905512423,0.2707617666719936,0.003111810889095068,7,0.041841319584151694,0.040659280920710465,-0.02906394959102259,0.13663932516904145,0.15525556996997505,0.0004901152569800615,3,0.00242724874316534,0.0017264513624549794,0.06572703959817491,0.02542026153765695,0.028883611573258555,0.002839047461748123,0,-0.017131984354771528,-0.016082064920765103,-0.07488799311995747,0.1111382376151429,0.1262801203464007
