epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.48666157342649247,0.9189965050432373,0.7733575292859858,0.9823900851300389,0.26165744761450593,0.8644777942832522,0.5825559002814499,0.48943935120427023,0.19021231010747078,0.8700716845878137,0.8253405017921146,0.8363636363636363,0.027777777777777776,16.159035498579886,-15.427249543336112,0.09088175466525161,0.932258064516129,2.364145496812549,0.33973304584336556,1.0,0.0,1.0,4.2118883224904184,4.2118883224904184,3.4966024359856407,2.0,0.09523809523809523,1.0,12.102200549244058,12.102200549244058,4.760096428579983,2.0,0.14018691588785046,1.0,43.36337904649899,43.36337904649899,0.8575887394031367,0.5126557519559548,0.9285714285714286,3.3375791230332887,-2.812827604833468,0.0,5.0,0.31247409863240777,1.0,5.16229579385849,2.8450283666887994,0.5572427988755148,9.0,0.5277050814717886,0.7777777777777778,21.91866249463313,18.23605062814579,0.6587909126364566,0.0,0.6130268199233716,8.975160111315297,-8.975160111315297,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.0,0.0,85.07227541858927,68.61408652800002,1.0,0.3475240439161474,0.7758620689655172,5.450626363121341,-2.0773213680664897,1.0,0.0,1.0,0.8634794806135409,0.8634794806135409,0.7333327074281583,0.0,8.0,0.4297678836108273,0.75,31.41534618927235,27.514724750027604,0.6883688488628241,0.0,0.876984126984127,1.9016735049642228,-1.9016735049642228,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.0,0.0,59.44579767630145,59.44579767630145,1.0
2,0.00018090169943749473,0.5644499317165804,0.6880446812045139,0.6193873498130874,0.8686587600612957,0.11959958335143388,0.2579864149795616,0.27462933455095734,0.606116598383247,0.3780999123087438,0.9148745519713263,0.824661873480267,0.7894736842105263,0.4166666666666667,23.98236780745762,16.106295655705352,0.5854932872947003,0.967741935483871,0.7430866452799343,0.013398203821357571,1.0,0.270516717325228,1.0,0.7297553076640129,0.7297553076640129,0.60582427431093,2.0,0.45393258426966293,1.0,5.088535331803483,5.088535331803483,1.545002111430695,2.0,0.6350342164295653,1.0,17.987428251831982,17.987428251831982,0.4231131307008713,0.6033894028364787,0.9474393530997305,4.852215377307144,2.1970041484201346,0.0,5.0,0.37035424715677207,1.0,13.55956457916339,3.4682050977452072,0.924778920423545,9.0,0.6420871534658856,1.0,23.94591698765011,18.89219168697884,0.35190718413034905,0.127555634403112,0.7011494252873562,17.123749756613275,6.35471173456809,0.0,2.0,0.006278570248389051,0.5,37.68763907664613,37.68763907664613,11.71559347757299,7.0,0.21376597050927623,1.0,51.1682905420734,56.681589317440256,0.6044696496483234,0.48909006499535745,0.8601532567049808,5.261239717130472,1.874417396270816,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.6634479139333508,1.0,16.12927895498985,8.58142438367761,0.20168184398415806,0.08497117201407073,0.6468253968253967,6.125577332916796,5.666764172624953,0.0,2.0,0.026026429940482196,0.5,32.60705821627065,32.60705821627065,5.465741119819352,2.0,0.15824649658641754,1.0,81.39730561564998,81.39730561564998,1.2381719945935385
3,0.00015877852522924732,0.5554406958044072,0.5127454054018984,0.46408684435377884,0.6371374381737059,0.11812650985115415,0.1720649356276193,0.19463424738558424,0.5943295846932961,0.36880505717600326,0.8942652329749103,0.8213815556934747,0.8,0.3888888888888889,23.09053654542107,12.590293035058538,0.6291764407531858,0.9548387096774194,0.4995865092880451,0.28656654827511313,1.0,0.23508771929824562,1.0,0.9568386703029632,0.9568386703029632,0.7943430996404852,2.0,0.4475347661188369,1.0,5.066320737506372,5.066320737506372,1.55658873282104,2.0,0.6763833486754628,1.0,10.298884180552516,10.298884180552516,0.35513657044240804,0.6402776117048747,0.9703504043126685,4.753716636085123,3.5692465565575135,0.0,5.0,0.4025657681065281,1.0,13.465218046668133,3.410871991570142,1.0255892798233583,9.0,0.6930443282856958,1.0,18.311466376388196,7.472923669398485,0.3080177879633789,0.12933532048155105,0.7634099616858238,16.619139999279863,2.4597060809835742,0.0,2.0,0.16951018161805173,0.5,1.5445455001895594,1.5445455001895594,0.5777106002715418,7.0,0.20099820424405418,1.0,67.32170646607808,55.73512532508673,0.7845130628146221,0.3437863478099438,0.8151340996168582,9.655766698661834,4.582753112579453,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.48589803316786884,1.0,41.94953639922939,37.33297111928303,0.8539241780148028,0.10144956513046086,0.6031746031746033,3.7772817452396343,1.692020736662883,0.0,2.0,0.10328904731043421,1.0,25.896728838479735,25.896728838479735,4.368284504527291,2.0,0.18242059014189335,1.0,33.97653264467314,33.97653264467314,0.5624674516335335
4,0.00013090169943749474,0.5908215719838369,0.4181817160962626,0.37938646106529006,0.5095167843210341,0.12239436071413348,0.10725074277052105,0.1551810232210793,0.6074882386505036,0.3652287302745859,0.9238351254480287,0.8630793291004846,0.8615384615384616,0.16666666666666666,12.557796942395496,-9.041565213125132,0.541413786026329,0.9790322580645161,0.6876035142876091,-0.6288304478036495,1.0,0.22661870503597123,1.0,0.9929655689046144,0.9929655689046144,0.8243347309429144,2.0,0.5187275525910724,1.0,1.5285200583897145,1.5285200583897145,0.5544757313495634,2.0,0.5507442033143204,1.0,20.9703838556923,20.9703838556923,0.2774574128003718,0.6953433698874173,0.9629380053908356,4.1705744882710825,1.1481939646892683,0.0,5.0,0.466691042047532,1.0,7.731117237348815,1.8260055128484964,0.2880873447601417,9.0,0.7267695761274133,1.0,22.733775464564165,13.187753995850787,0.45871773281523565,0.21650693256747017,0.853448275862069,10.116366516009949,-4.38872155172186,0.0,2.0,0.08050513022888714,0.5,2.7780886181858646,2.7780886181858646,0.9578401744951948,7.0,0.2584271107967333,0.7142857142857143,68.62346757609195,50.70675501499997,0.780272488471048,0.3147086057021241,0.7739463601532567,5.303250931608372,-3.8313944278609684,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.3553100693550526,0.625,38.104143314777865,33.13340249832585,0.8961001332754874,0.058170957189588965,0.746031746031746,1.9618977074295763,-1.3408127504279246,0.0,2.0,0.09321750751754093,0.5,1.9639486425208248,1.9639486425208248,0.6381702562664436,2.0,0.06111397627643115,1.0,54.23333516911313,54.23333516911313,0.9209325597856286
5,9.999999999999999e-05,0.6222107595373554,0.340424827067955,0.3089847439943358,0.410332849453454,0.10983400442714855,0.07653000432707097,0.12576033226353583,0.6416552039817999,0.42923411246059884,0.9229390681003584,0.8579648113224204,0.8823529411764706,0.19444444444444445,10.862816598172818,-6.890531285692303,0.6426899340285167,0.9612903225806452,0.507923877624811,-0.36589059999248247,1.0,0.16793893129770993,1.0,1.07554133713696,1.07554133713696,0.8928870310627527,2.0,0.5624413145539906,1.0,1.9889559694714458,1.9889559694714458,0.661621570303561,2.0,0.662388461068329,1.0,14.351064657039199,14.351064657039199,0.21427731781225928,0.709894873420521,0.9649595687331537,3.7593291917385803,0.8276212220043156,0.0,5.0,0.465529109154802,1.0,7.383765711159219,1.1356227991393082,0.19201994766235334,9.0,0.7442390594382756,1.0,19.82325735877193,13.174297129705653,0.40249554791320236,0.3989895331570751,0.7088122605363985,9.59958216672727,-1.7922685374124108,0.0,2.0,0.32639791937581275,0.5,2.1702882818640488,2.1702882818640488,0.7705399661049948,7.0,0.4856853091405285,1.0,53.898060289278746,48.12752849555315,0.665610635098879,0.38138328571326785,0.8333333333333334,4.435145473703832,-3.824685594621413,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4030056393383377,0.375,34.440858470611964,30.558205408,1.0,0.013212935983613651,0.8214285714285714,2.008225297669654,-1.7353077756703117,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.015644748078565328,0.5,58.44391423844442,58.44391423844442,0.9851314829311353
6,6.909830056250526e-05,0.5982387932177852,0.2955540559220552,0.26655971083134117,0.3547486872768085,0.09459664094636211,0.05728496287108563,0.1159773836240321,0.6176832376622297,0.3947682405386899,0.9121863799283154,0.846031942583037,0.8823529411764706,0.19444444444444445,11.793899307657037,-8.694470333747196,0.5142635935918052,0.9580645161290322,0.7320502356270128,-0.6391218867426159,1.0,0.1532567049808429,1.0,1.0807023226514816,1.0807023226514816,0.8971715498202426,2.0,0.5423189174847439,1.0,1.2693661465458186,1.2693661465458186,0.4815855750796213,2.0,0.5177942634439848,1.0,22.648413868799064,22.648413868799064,0.3234139689996603,0.7143014186696132,0.9690026954177897,4.18925255773233,1.8982325489978003,0.0,5.0,0.4632660963846939,1.0,7.776167459250561,0.35484701421127873,0.06950227480573366,9.0,0.7573575769803041,1.0,20.027712341713425,10.835688595462987,0.30877205737673435,0.3109186180896065,0.7088122605363985,8.015364030831368,-5.64911634857605,0.0,2.0,0.115625,0.5,2.74893214448777,2.74893214448777,0.9488552936499085,7.0,0.3387103357633248,0.8571428571428571,64.60888977445327,57.57055727175303,0.8390486587365651,0.411366991258497,0.8601532567049808,4.686585236248831,-2.4863299104480503,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4798883156641533,0.875,29.88939804879319,27.587861714141987,0.8993959636319616,0.02299058108392766,0.7341269841269842,1.8984404985803327,-1.8181347369782788,0.0,2.0,0.0,0.0,4.221557348641088,4.221557348641088,0.9939008895546373,2.0,0.025951968477190123,0.5,58.031077846965644,58.031077846965644,0.9790047573047689
7,4.122147477075269e-05,0.6340901627366065,0.2652887424757314,0.24343593383944312,0.3264710784354479,0.08306644428281602,0.04312969493970547,0.08741123310021091,0.6507568294032732,0.45015525961194036,0.900089605734767,0.8876303659751725,0.8955223880597015,0.16666666666666666,10.58071712536443,-5.861175620850528,0.6500073067368113,0.9419354838709677,0.44674323348438516,-0.12055579505868627,1.0,0.053388090349075976,0.0,1.1710195691556096,1.1710195691556096,0.9721506280763157,2.0,0.5074565883554648,1.0,3.2653414225354407,3.2653414225354407,1.0206794444844614,2.0,0.6799786258683241,1.0,10.954536864712093,10.954536864712093,0.22728651139567774,0.7221574197581163,0.965633423180593,4.250762137508552,2.0664691963237716,0.0,5.0,0.4498530115539755,1.0,8.918445042520043,1.3017778175661094,0.22211920028594953,9.0,0.7644223138566871,1.0,20.275241017139635,9.377162895899662,0.31786114005102883,0.3432770215313903,0.7365900383141762,8.963283570806563,-4.1412934489694715,0.0,2.0,0.2480173035328046,0.5,2.5089519378957617,2.5089519378957617,0.8749028128463978,7.0,0.3906223446509661,0.8571428571428571,61.99791804095795,53.34878009318115,0.7630699656383604,0.4689411946931651,0.8793103448275862,4.1831970552397655,-2.0937854574991377,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5339936232277321,0.75,26.137680144094155,26.2408139071917,0.7821860269238852,0.06639335534021935,0.9146825396825397,1.9031177410164315,-1.5720101156470039,0.0,2.0,0.0,1.0,3.7502950072758696,3.7502950072758696,0.8684370447487613,2.0,0.08023420409213744,1.0,54.458096591836664,54.458096591836664,0.9209211202975747
8,1.9098300562505263e-05,0.644611315348263,0.2366327167893961,0.21897154152395276,0.2894717219264008,0.0848252041428825,0.022522168989723357,0.07064470438367108,0.6640557597927075,0.4676560041504832,0.913978494623656,0.8843427274856326,0.8823529411764706,0.19444444444444445,9.968334962191559,-6.159622003941468,0.7076132648295189,0.9612903225806451,0.3308692136506865,0.023701898555346008,1.0,0.19402985074626866,1.0,1.0445754240498304,1.0445754240498304,0.8671799185178134,2.0,0.5250410509031199,1.0,2.925189106274358,2.925189106274358,0.9003755848078485,2.0,0.7398939872570541,1.0,7.540987827993188,7.540987827993188,0.20529598110257963,0.7343503628860111,0.9663072776280324,3.8728409976936002,1.5743043313718046,0.0,5.0,0.45547046345234243,1.0,8.801167447771158,2.1646346733905375,0.3415125809012587,9.0,0.777807014484851,1.0,17.59386634011885,9.93435248899127,0.30556383292575573,0.3689731638980733,0.7088122605363985,8.708122857095756,-3.6758016564174927,0.0,2.0,0.22927180966113914,0.5,2.5089519378957617,2.5089519378957617,0.8749028128463978,7.0,0.4278902766249059,0.8571428571428571,58.54908104670033,43.068636034772325,0.6276937902131349,0.47092715398774554,0.9003831417624522,4.127231554839044,-2.5345749771936465,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5176700482288376,0.875,27.74913072488689,25.708822783969886,0.7721329724957489,0.05641607515106737,0.884920634920635,1.7953095453746108,-1.547251600257479,0.0,2.0,0.0,1.0,3.0244507467378727,3.0244507467378727,0.7651609053637276,2.0,0.06795067378591406,1.0,52.96344844259963,52.96344844259963,0.903532029035111
9,4.894348370484646e-06,0.6421982911605811,0.22765825332399223,0.20766563416517453,0.2769186205642168,0.07627297793530496,0.019459910243300974,0.07997047722314878,0.6644205133828034,0.4637288979081263,0.9206989247311829,0.8877329474265274,0.8695652173913043,0.2222222222222222,9.95949155225499,-5.234098148235403,0.6774361388469067,0.9580645161290323,0.4781059387784835,-0.1700112468516541,1.0,0.2302158273381295,1.0,0.9929655689046144,0.9929655689046144,0.8243347309429144,2.0,0.5293536271990512,1.0,2.980362448390535,2.980362448390535,0.8890367707829647,2.0,0.7074767163576599,1.0,12.433182176380608,12.433182176380608,0.24034760939740002,0.7279296090961366,0.9622641509433962,4.262457409575363,2.6010854695956085,0.0,5.0,0.466319870116961,1.0,9.205755855701145,1.198769644982216,0.360448970207603,9.0,0.7718892470572523,1.0,19.3756033394846,8.446328516852507,0.2724696093386238,0.38953731265340225,0.7509578544061302,8.548220959071596,-3.4992539544778025,0.0,2.0,0.25651867512332627,0.5,2.4371821564850675,2.4371821564850675,0.8527861830733852,7.0,0.451411704896389,1.0,56.95943504156211,45.997728075523455,0.6169493521121924,0.4833190063561582,0.9022988505747127,4.041607990143493,-2.5043904947365303,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5303753279213402,0.875,27.2641845274351,24.547252574192903,0.7419168152590934,0.04042242258802768,0.8650793650793651,1.890131104514764,-1.6615279217650245,0.0,2.0,0.0,1.0,3.3924934569750778,3.3924934569750778,0.8470499622440575,2.0,0.04853179726553448,0.5,56.09779523321137,56.09779523321137,0.9503137494934921
10,0.0,0.6429099921448335,0.22194740837099544,0.20440424043078756,0.27093388808526075,0.07770346299872001,0.022020147525685284,0.07017267421444884,0.6651322143670557,0.4691170591533481,0.9144265232974911,0.8852658322897792,0.8695652173913043,0.2222222222222222,9.78528311991177,-5.632934626791617,0.6911559291298062,0.9516129032258065,0.45045280711668595,-0.13325791169021373,1.0,0.20408163265306123,1.0,1.036833945778048,1.036833945778048,0.8607531403815786,2.0,0.5269098971981455,1.0,2.9894008846170816,2.9894008846170816,0.90883406346974,2.0,0.7227343639200113,1.0,11.497133949018274,11.497133949018274,0.23537141857224006,0.7309326519953134,0.9622641509433962,3.911156713399715,1.7355869860080244,0.0,5.0,0.4639865996649916,1.0,8.862257742881056,2.4815170071087778,0.3915068385745975,9.0,0.771684418889622,1.0,18.055140156895206,9.931192388728366,0.30995798767045074,0.3840503192355347,0.7490421455938697,8.519021009932564,-3.6080815857728634,0.0,2.0,0.25140449438202245,0.5,2.4259681281396466,2.4259681281396466,0.849330459671352,7.0,0.4454104295971766,0.8571428571428571,57.34371438569321,48.89093537458085,0.622728133438086,0.4907259756609316,0.9022988505747126,4.097499383240055,-2.02909921478225,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5523109101949936,0.875,25.507947501218403,23.40406672209742,0.6908779648444252,0.04872041974515473,0.8611111111111112,1.874660411842317,-1.5980829005543136,0.0,2.0,0.0,1.0,3.0221927858893625,3.0221927858893625,0.7750465589477986,2.0,0.05950629393493542,0.5,55.14625769675419,55.14625769675419,0.9361923940863792
