epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.46930905964012387,0.9496152805355328,0.7826523709212934,0.9829928822315203,0.2637999297939109,1.0275409104230127,0.6071751410464095,0.5056374450395206,0.49986461519567943,0.21259693873296254,0.8700716845878136,0.8127652901080399,0.782608695652174,0.3055555555555556,22.979896925704203,8.263022422857983,0.08164410319282679,0.9516129032258065,11.396050661513641,11.396050661513641,1.0,0.01806775407779172,1.0,28.422071371111237,28.422071371111237,23.59527992737072,2.0,0.034105445275760836,1.0,150.67978225709788,150.67978225709788,57.951062252250395,2.0,0.2915640485445536,1.0,76.19742303762631,76.19742303762631,2.6719313240565463,0.5730070374270766,0.9191374663072776,5.285729805334545,2.1801176588604743,0.0,5.0,0.3475239727613842,1.0,6.826607168778416,2.6951038160742846,0.8103703652931324,9.0,0.5937986911810533,1.0,32.24129655916804,16.414456079010268,0.5788172309593972,0.027103289522536572,0.646551724137931,9.7730870216029,-7.895381597822948,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.029127472593242824,0.42857142857142855,83.72341417468085,67.95021880666592,0.9996124735246403,0.3812302635223726,0.7528735632183907,7.503469176189537,4.483909205271035,1.0,0.0,1.0,0.9935625200165026,0.9935625200165026,0.8438091572079213,0.0,8.0,0.5433804136682127,0.875,24.96695907607885,10.681242873689449,0.26350547601237706,0.0,0.7936507936507937,1.9016735049642228,-1.9016735049642228,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.0,0.0,59.44579767630145,59.44579767630145,1.0
2,0.00018090169943749473,0.4878164942241947,0.7100366253945516,0.6234409192004389,0.8760578305898201,0.11106301434074821,0.30262591197507543,0.3025138234660398,0.36557506523988753,0.5544831608908614,0.31388923839216265,0.8678315412186379,0.8099641160638704,0.7058823529411765,0.6666666666666666,22.64418332974104,11.805301523615933,0.22982310388847238,0.9306451612903226,3.868261978462169,2.763000372154143,1.0,0.0826686004350979,1.0,4.689279482583666,4.689279482583666,3.892920421053456,2.0,0.17332177246383426,1.0,26.51371187824674,26.51371187824674,9.63665498718238,2.0,0.5001206207950251,1.0,38.21995164471791,38.21995164471791,1.1029119750315408,0.5650976738375694,0.9514824797843665,7.658025186456438,3.8520642924710984,0.0,5.0,0.24988087296292766,0.8,14.717688680939014,4.721051002182227,0.9267340047723466,9.0,0.609222205725232,1.0,43.012420965984475,14.17941615008225,0.6302797846895477,0.28778387994075916,0.7614942528735632,15.417193744971067,6.253995218411478,0.0,2.0,0.11756473058082575,0.5,2.4147540997942256,2.4147540997942256,0.8458747362693189,7.0,0.4591155981624386,0.8571428571428571,43.16252034859398,14.670348576892692,0.39855891024173995,0.4129058258177577,0.7375478927203065,4.41761687661222,-1.9840394754065132,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.45566464289805464,0.875,26.854463562531652,19.06304596652917,0.4162908388099642,0.07383570847625447,0.6686507936507937,2.3894507845745414,0.9202811159857293,0.0,2.0,0.027065302911093627,1.0,10.380467847373929,10.380467847373929,1.9105907563198108,2.0,0.13269079905861259,1.0,23.699338872066594,23.699338872066594,0.435027956988534
3,0.00015877852522924732,0.583262846707594,0.535987609161505,0.46889738064562053,0.639604934955233,0.1250045707567789,0.18805177234007908,0.200230306981941,0.5677550205085672,0.6110406244853718,0.3863147988166304,0.9086021505376344,0.8399122664995649,0.8450704225352113,0.2777777777777778,13.891009663887981,-0.18274031004572713,0.46813573523250945,0.9693548387096774,1.1669069293500756,0.765754965721037,1.0,0.1404109589041096,1.0,0.920711771701312,0.920711771701312,0.764351468338056,2.0,0.2641537656121457,1.0,13.711375189161968,13.711375189161968,5.215895508082511,2.0,0.6281670497688473,1.0,14.668433707385514,14.668433707385514,0.4491067968849869,0.6289961526859755,0.9299191374663074,5.889564395813489,3.132806446893023,0.0,5.0,0.2907120164455242,1.0,11.044082613881319,4.973939885646265,0.9452070106436985,9.0,0.6911979991763436,1.0,26.70496064925148,13.438948830559955,0.46839693174523717,0.3012775771553425,0.8639846743295019,9.009918992488634,-3.8711086707780993,0.0,2.0,0.43467122117847995,0.5,2.217667420079641,2.217667420079641,0.7851403569419454,7.0,0.3486322536339705,0.8571428571428571,61.27566953934794,47.50372928206323,0.5547320798117005,0.4597156398104265,0.8946360153256705,4.351019478669541,-2.3725002264490893,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.48303355193338593,0.5,30.210323831319375,27.326329484537787,0.8984660227850222,0.07344888919889792,0.5416666666666667,3.9610027547946425,2.1623071745674007,0.0,2.0,0.06074929293711983,0.5,27.52663246743626,27.52663246743626,4.662659808628733,2.0,0.15968324211016652,1.0,29.052375614724017,29.052375614724017,0.5044593999264246
4,0.00013090169943749474,0.5793083271148907,0.4477106156913636,0.39241364882607344,0.5311006914179233,0.1152051317673374,0.13752833638889814,0.16744080572899153,0.4478922204981701,0.6043083271148907,0.38973091314109015,0.889784946236559,0.8201389401088228,0.8571428571428571,0.25,12.43082515067755,-8.406829378708686,0.37733129110730695,0.9774193548387097,1.4298870744360956,-0.18683749240664108,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.28090591710679436,1.0,10.478817045371157,10.478817045371157,4.039523582806673,2.0,0.45744430630691174,1.0,32.144613970249154,32.144613970249154,0.5947788312079852,0.6507867289518644,0.9696765498652291,3.934669871595289,0.61541813576863,0.0,5.0,0.381866366848699,1.0,8.459882064569381,3.1650102192351337,0.6199161926419944,9.0,0.6867666833654125,1.0,19.961198898865135,15.699702342942462,0.4090058869795234,0.31138722511941974,0.7739463601532568,7.808406132124001,-6.26711813499809,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.3253209516763875,0.8571428571428571,66.52860906008429,57.35973441430234,0.9533078364866598,0.5745768219550382,0.8697318007662835,3.3771989706461905,-1.4646438941475797,1.0,0.0,1.0,0.5898620630609281,0.5898620630609281,0.5009559039043667,0.0,8.0,0.6148836621143147,0.75,20.690992385372788,12.665404018118426,0.30104773561162945,0.03457249857182151,0.5099206349206349,2.2346292320263452,-1.103647992925006,0.0,2.0,0.12371978697255223,0.5,3.689008050749669,3.689008050749669,0.9099872784481051,2.0,0.023704861450294684,0.5,54.82907851793513,54.82907851793513,0.9314852756173417
5,9.999999999999999e-05,0.558681885225384,0.3655594946954781,0.3210024048077344,0.4306969048698884,0.10471126904000294,0.0880096543546562,0.12493255413252558,0.44413172383196625,0.5864596630031618,0.342444194940015,0.9086021505376344,0.8368980708324214,0.8450704225352113,0.2777777777777778,13.674291444171924,-8.028461846483331,0.3774827403080191,0.9741935483870968,1.5070988893234447,-0.07946498234388803,1.0,0.06134969325153374,0.0,1.165858583641088,1.165858583641088,0.9678661093188258,2.0,0.24762433238537837,1.0,14.490695757939589,14.490695757939589,6.217876540806737,2.0,0.4788941836493291,1.0,31.840396586052332,31.840396586052332,0.5963279601015067,0.596745127054251,0.9299191374663072,4.004255077829569,-0.013812198720878908,0.0,5.0,0.3713332566432762,1.0,9.603363467845346,4.176565753091287,0.8180449858392527,9.0,0.6328015788175314,1.0,19.409368017301663,14.49755563397716,0.5073074957861086,0.2054399176939167,0.8026819923371648,10.142520188239333,-5.170064075575474,0.0,2.0,0.10611643330876934,0.5,2.5762361079682874,2.5762361079682874,0.895637153258597,7.0,0.23676630636694626,0.8571428571428571,72.54558580312278,68.34943655800872,0.9310359860998964,0.4902999702999703,0.8189655172413792,4.25585422789529,-1.750775689758006,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5513569839753653,0.875,25.55724945631487,20.896939055949993,0.6124850767580384,0.04225321934391806,0.6587301587301588,2.063121503938,-1.0143449000850868,0.0,2.0,0.04864091559370529,0.5,1.620420649322202,1.620420649322202,0.5840406676262683,2.0,0.05303076640773136,1.0,49.927141618064496,49.927141618064496,0.8578477538931275
6,6.909830056250526e-05,0.6031761963128595,0.32958594059354424,0.288225328938068,0.38395604312209275,0.09892231583029243,0.0806220073521124,0.10475587081361575,0.5057215078991715,0.6253984185350817,0.41840565480201636,0.9121863799283154,0.8107959627698541,0.8695652173913043,0.2222222222222222,12.204371525523607,-7.480529147980752,0.5892932554962117,0.967741935483871,0.5075431412457792,-0.2510468077069625,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.41302424349672623,1.0,2.581746862418127,2.581746862418127,0.9630286867649367,2.0,0.6455585403398629,1.0,12.443322567447279,12.443322567447279,0.17365872990041034,0.6754648224197843,0.9622641509433962,4.112176263990468,1.6155685058326967,0.0,5.0,0.3696307582585016,1.0,11.949744259658482,1.9263707900235172,0.37730950709433125,9.0,0.7249380204691374,1.0,17.139472307901016,10.593147243176052,0.4058588871249081,0.26739090365366025,0.7816091954022988,9.145625556520338,-5.165728841178564,0.0,2.0,0.1238390092879257,0.5,2.72201847645876,2.72201847645876,0.9405615574850288,7.0,0.2977772926130877,1.0,67.7123336242851,58.68746985697054,0.7523379431759865,0.46734549481650106,0.7193486590038314,4.289196855277258,-2.230241779771571,1.0,0.0,0.0,1.1729874019516222,1.1729874019516222,0.9961904672489736,0.0,8.0,0.5210341114091106,0.75,27.434640894875713,24.726923380934245,0.7933068017411473,0.09253379762392462,0.623015873015873,1.6381087457382348,-1.4490802251563526,0.0,2.0,0.0035281146637265713,0.5,2.082328852871885,2.082328852871885,0.6568233856075958,2.0,0.10822354568970703,1.0,49.62808640961245,49.62808640961245,0.8437869051655789
7,4.122147477075269e-05,0.6124493909366471,0.282855993735706,0.25012785493801004,0.33544056533503447,0.08310127211241018,0.06012103805489601,0.08613619139885313,0.37313636994005317,0.6374493909366471,0.4221226198932624,0.921146953405018,0.859585759825649,0.8571428571428571,0.25,11.178437272977902,-4.721067581769153,0.5702194291034512,0.9774193548387097,0.6208665783444153,0.1273816146732763,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.3720136518771331,1.0,7.991883512734544,7.991883512734544,2.9917513106573743,2.0,0.6513048306496391,1.0,10.350720489575718,10.350720489575718,0.21783594866700745,0.6796087103096377,0.9528301886792454,4.323589919490049,1.572783940551407,0.0,5.0,0.41201567865690797,1.0,10.095265486835714,2.217448395676911,0.34984495718014846,9.0,0.723095874194116,1.0,19.96326866022085,11.325244470727046,0.29986850621186417,0.3475312351731773,0.8745210727969348,9.724741023528408,-2.3667952983654588,0.0,2.0,0.16910722720831364,0.5,1.7130361445356979,1.7130361445356979,0.629632803850451,7.0,0.4168436598381559,1.0,57.49738954849207,53.68400943570285,0.6642379818322495,0.4531798345009777,0.774904214559387,4.377649065760303,-2.588341751794574,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4926722135405668,0.75,29.109976667153035,26.34398274305517,0.8201817914193589,0.06007389037906777,0.7182539682539681,1.8458248300356201,-1.4660960868338033,0.0,2.0,0.10037484381507705,0.5,1.7378330697775684,1.7378330697775684,0.6025413026438683,2.0,0.060736412956245385,0.5,53.736842287785265,53.736842287785265,0.9151389481927742
8,1.9098300562505263e-05,0.5991875130718808,0.24152151924350657,0.2128789937222383,0.28535608225913434,0.07202051630138351,0.043807331771900805,0.07482753853994839,0.33118805839024296,0.621409735294103,0.4009906027138809,0.9086021505376344,0.8552283909345215,0.8695652173913043,0.2222222222222222,11.457888937458373,-6.367162904123836,0.47347222912833775,0.9806451612903225,0.9901923335953197,-0.37345014979264446,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.37118583223644847,1.0,6.468233623690081,6.468233623690081,2.462295430096376,2.0,0.5388723634396971,1.0,23.628193173735593,23.628193173735593,0.35249634731364526,0.6850809703237952,0.9420485175202157,4.251830320326365,1.4579259983101769,0.0,5.0,0.42229530898390166,1.0,9.79907940067279,1.1651236408205445,0.22820748160149662,9.0,0.7274274502499943,1.0,20.033552819350543,11.898134015728136,0.289872686284514,0.34957234664330566,0.842911877394636,9.270883398797807,-3.40847921393011,0.0,2.0,0.14384085692425402,0.5,2.688376391422497,2.688376391422497,0.9301943872789291,7.0,0.405025168534093,1.0,59.911699249077174,51.9886256941825,0.7624206738373099,0.45520615404422415,0.7327586206896551,4.373726919460087,-2.502748342013883,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.49298661461238147,0.75,28.98632489773337,27.927400093481488,0.8781113140462561,0.041621313429741354,0.7777777777777778,1.8417740585626445,-1.5404111966973748,0.0,2.0,0.07672742687579483,0.5,1.846213765582522,1.846213765582522,0.6196188118908836,2.0,0.040475028469171954,1.0,54.80538926002279,54.80538926002279,0.9308066178877386
9,4.894348370484646e-06,0.5775803550257994,0.24216045089092356,0.21340913533532577,0.28706980636178814,0.07042417231685558,0.0433061707916245,0.0762483952270801,0.32297390392703695,0.6025803550257994,0.36808560274064495,0.9224910394265233,0.8225730779365845,0.8571428571428571,0.25,12.378662856886777,-7.6065649077136035,0.394406024281543,0.9774193548387097,1.1190680699798554,-0.8627970258589337,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4019454577036651,1.0,2.803983620050472,2.803983620050472,0.980860885167117,2.0,0.4171657478285012,1.0,32.59395736779972,32.59395736779972,0.48849621526823184,0.6733142422735509,0.9433962264150944,4.330533711699022,1.5940958392463507,0.0,5.0,0.44527714932126694,1.0,8.887471079732503,1.1964905339071281,0.23546580187807667,9.0,0.7113105775702306,1.0,21.163728228154298,12.486437629204591,0.3268901732682173,0.30913955780875935,0.8371647509578544,9.406052304956589,-4.255562753447928,0.0,2.0,0.11944869831546708,0.5,2.690619197091581,2.690619197091581,0.9308855319593359,7.0,0.3543141257554015,1.0,64.61183800890974,62.17277539397456,0.8037153479672635,0.44661152631612255,0.7298850574712643,4.561817002486067,-2.294409633928778,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4921855930371228,0.75,28.861314416716425,28.221206995614416,0.9163702293600549,0.016956663023248945,0.625,1.8904729755626568,-1.7878913337243132,0.0,2.0,0.0,0.5,3.67965386961632,3.67965386961632,0.9085133433195605,2.0,0.019471488178025034,0.5,57.93294831094042,57.93294831094042,0.9775256388369276
10,0.0,0.5841900267389072,0.22445312037063572,0.19759514640898249,0.2629229262102619,0.07239560334772109,0.02713580456210215,0.06694385392900701,0.3374003802118075,0.6064122489611294,0.37362248396785575,0.9229390681003584,0.8269210823246753,0.8695652173913043,0.2222222222222222,12.507159735674563,-7.859289488892743,0.4204733694584047,0.9806451612903225,1.0722648045590522,-0.6787134691859585,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.3741827792460704,1.0,4.750209124441367,4.750209124441367,1.8388181360537912,2.0,0.46196653506298174,1.0,28.72660309772893,28.72660309772893,0.40023341432771137,0.6779189914366713,0.9407008086253369,4.129073617250732,1.1584556166240183,0.0,5.0,0.4390386655448659,1.0,8.655443636606659,1.6373549232074733,0.3207012804665432,9.0,0.7154670730478917,1.0,20.300044734553346,12.807564055774709,0.3424863614409574,0.3182960836298199,0.8333333333333333,9.573880258589732,-3.8058910814580127,0.0,2.0,0.12238574748257165,0.5,2.724261282127844,2.724261282127844,0.9412527021654354,7.0,0.3699678518305264,1.0,63.25340247533482,60.060061226755906,0.781313662001341,0.4315949353655544,0.7231800766283525,4.508446651906933,-2.773878655700632,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4652619386390774,0.5,30.493897985316664,29.919007185802407,0.9798329076276842,0.019829039948828283,0.6567460317460317,1.876263371164518,-1.7592618991721582,0.0,2.0,0.006870884626395649,0.5,3.4267655794047616,3.4267655794047616,0.8686658217431913,2.0,0.022178778481865984,0.5,57.468282698734555,57.468282698734555,0.970530848841243
