epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_small_le_2ml_dice_known_pixels,calibration_iph_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_iph_small_le_2ml_mae_ml,calibration_iph_small_le_2ml_median_absolute_error_ml,calibration_iph_small_le_2ml_median_relative_absolute_error,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_small_le_2ml_dice_known_pixels,calibration_sdh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_sdh_small_le_2ml_mae_ml,calibration_sdh_small_le_2ml_median_absolute_error_ml,calibration_sdh_small_le_2ml_median_relative_absolute_error,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_small_le_2ml_dice_known_pixels,calibration_sah_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_sah_small_le_2ml_mae_ml,calibration_sah_small_le_2ml_median_absolute_error_ml,calibration_sah_small_le_2ml_median_relative_absolute_error,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.4612797688913534,0.9496152805355328,0.7826523709212934,0.9829928822315203,0.2637999297939109,1.0275409104230127,0.6071751410464095,0.5056374450395206,0.49911760672919125,0.19159645176721002,0.9185094185094186,0.7879115513626677,0.7631578947368421,0.3783783783783784,36.519750558246834,24.16426708458935,0.10654884310055704,0.9176788124156544,27.148356130253074,27.148356130253074,0.0,4.0,0.1647030430680796,1.0,48.49674680163191,49.83747984921864,6.764639204132396,9.0,0.1640330903281488,1.0,100.4805396791847,102.62252382883273,5.641041702415007,0.659825790034835,0.9064685314685315,7.446648799736696,4.194240790550201,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.3238578680203046,0.75,4.26563993343538,3.4994216200662285,0.7240071241126962,21.0,0.6708874378659603,0.9523809523809523,22.96680727002111,14.1496152430176,0.39698764221871435,1.1173933448052384e-05,0.6347905282331512,6.55923069727208,-6.476658562328668,4.0,0.0,0.25,1.0180096163010186,0.9817827597291721,1.0,1.0,0.0006321112515802782,1.0,9.080353258159665,9.080353258159665,0.9520390091279731,4.0,0.0,0.0,110.77593309066563,75.99255740553502,0.9999424092734386,0.6680434063160127,0.6680434063160127,0.0,0.0,0.0,0.0,0.6927083333333334,1.3697146802012696,-1.3697146802012696,1.0,0.0,0.0,1.9468288,1.9468288,1.0,3.0,0.0,0.0,3.205429284696289,3.073407245,1.0,2.0,0.0,0.0,42.15845548,42.15845548,1.0
2,0.00018090169943749473,0.4993782374202878,0.7100366253945516,0.6234409192004389,0.8760578305898201,0.11106301434074821,0.30262591197507543,0.3025138234660398,0.36557506523988753,0.5696485076905581,0.30239417210050357,0.9418509418509418,0.8051762031999912,0.717391304347826,0.7027027027027027,17.197982800875945,4.260279058980809,0.3551863882931752,0.9703103913630229,5.895017249884918,4.578899014625979,0.0,4.0,0.3478905923079849,1.0,22.08650601984739,21.796008381939423,2.658465835169839,9.0,0.43802459496388835,1.0,21.876896647793455,16.832351684570312,1.038846380223661,0.7055347144631633,0.9676573426573426,6.000284879046496,2.1947542861631564,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.37519121123626753,1.0,6.8362477372878825,6.2655232207144484,0.9206359332648475,21.0,0.7191476561965462,0.9523809523809523,17.81602705087915,11.593707803978562,0.3005676018445775,0.040363414100406725,0.5965391621129327,9.880558733227259,-2.6380884079701694,4.0,0.1304445948995712,0.75,1.9280303815920716,1.1064783201474149,0.7024797536976104,1.0,0.3889852885703508,1.0,22.536416617705765,22.536416617705765,2.3628538599790363,4.0,0.028135645096383288,0.75,108.95361302898803,72.49257981595014,0.9965876179282214,0.15047578098518508,0.15047578098518508,0.0,0.0,0.0,0.10849217154526888,0.6861979166666666,1.834232293685588,-0.02576161482334324,1.0,0.11720131346299571,1.0,4.2907556421330835,4.2907556421330835,2.203971731943293,3.0,0.0,0.3333333333333333,3.1436352019069176,3.0450217683251153,0.9907641667985706,2.0,0.18032169832626535,1.0,27.83444059604592,27.83444059604592,0.5132031887138108
3,0.00015877852522924732,0.5868397589610247,0.535987609161505,0.46889738064562053,0.639604934955233,0.1250045707567789,0.18805177234007908,0.200230306981941,0.5677550205085672,0.6165694886907545,0.38782540834076146,0.9402129402129402,0.8080108802630239,0.7945205479452054,0.2972972972972973,12.172663630600715,-1.1972990695089891,0.5026725212771724,0.9703103913630229,2.500505816691392,1.322065318764535,0.0,4.0,0.4584392125646756,1.0,7.551299714285802,6.686079136508444,1.0791625546601673,9.0,0.5443433211985438,1.0,12.917056841444744,10.938197569688782,0.46828216957230817,0.7523608915674247,0.9641608391608392,4.560199570352984,2.3069930121331232,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5655697956356079,1.0,3.1518520579569635,2.3293576020662567,0.6348135811391861,21.0,0.7649708404017488,1.0,13.128380019478435,4.192468436282901,0.21203279789281188,0.0423212041951945,0.6074681238615666,6.839029636587797,-5.790827049229162,4.0,0.0,0.25,0.9507969910107514,0.8473575091486377,0.9848221343711574,1.0,0.46305060065526027,1.0,15.433531144651862,15.433531144651862,1.618144501712701,4.0,0.018041648609812284,0.25,109.56044900988766,73.53523426390615,1.0,0.37929338691090897,0.37929338691090897,0.0,0.0,0.0,0.25394701632325395,0.6901041666666667,0.9525688554352106,0.5851762619116059,1.0,0.05368814192343604,1.0,4.958701257847499,4.958701257847499,2.5470659042271717,3.0,0.0,0.0,3.1736031441820245,2.9779288234572063,1.0,2.0,0.3452092354504874,1.0,1.6689656703900475,1.6689656703900475,0.15619639233528884
4,0.00013090169943749474,0.5967113757035029,0.4477106156913636,0.39241364882607344,0.5311006914179233,0.1152051317673374,0.13752833638889814,0.16744080572899153,0.4478922204981701,0.6156302946224218,0.3966853291866535,0.9385749385749386,0.7725392133152055,0.8235294117647058,0.1891891891891892,10.113523714160388,-5.662293957589806,0.5465969271003596,0.9838056680161944,1.5068051094621109,-0.02870079538597154,0.0,4.0,0.502124248496994,1.0,2.5068242081980046,0.52970661628096,0.06592982982750328,9.0,0.5744467613921084,1.0,9.089129612725657,4.693187805508138,0.3112595617700706,0.7811010293046984,0.9641608391608391,4.272919712286999,1.0688666534721878,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5894016616630594,1.0,4.085297074149524,2.9780760222728797,0.8107082412618103,21.0,0.7951019172472584,1.0,12.012004393378666,5.884871908891711,0.17851388311190766,0.022552701085727836,0.6630236794171219,6.450078266094707,-6.338829281328114,4.0,0.0,0.0,1.0610069354941098,1.0677773981153544,0.9990998575811547,1.0,0.5861344537815126,1.0,1.0970483682869947,1.0970483682869947,0.11502116842985992,4.0,0.00427670635972749,0.25,110.56767201238384,75.5496802688985,1.0,0.18862192871581232,0.18862192871581232,0.0,0.0,0.0,0.23649065925582832,0.47916666666666663,1.1550727535524423,-0.5522524630637193,1.0,0.033397559409120106,1.0,0.64587626231623,0.64587626231623,0.331758119828631,3.0,0.02212537713711029,0.3333333333333333,3.152646778324751,3.06308525348186,0.9966415151994802,2.0,0.2979329307212648,1.0,24.82628299213759,24.82628299213759,0.40585139024479044
5,9.999999999999999e-05,0.6085134145028305,0.3655594946954781,0.3210024048077344,0.4306969048698884,0.10471126904000294,0.0880096543546562,0.12493255413252558,0.44413172383196625,0.6274323334217494,0.4114110312320631,0.9467649467649468,0.7808452147642048,0.8732394366197183,0.1891891891891892,10.740725359861107,-5.1076958736872555,0.5454414423858067,0.9662618083670715,1.501041312947506,0.008706037062767485,0.0,4.0,0.4855543113101904,1.0,3.3519695332277717,2.058366202156312,0.26311912696917794,9.0,0.5789903152689059,1.0,8.555517432802567,3.053484302795617,0.1805560411705021,0.773334878689538,0.9694055944055944,4.514532248659006,0.922921874872611,1.0,0.0,0.0,1.6127875939516223,1.6127875939516223,0.9972264290263384,4.0,0.5421603661212463,0.75,3.7459959594138095,3.2397219407436326,0.5911154513858569,21.0,0.7826253682634889,1.0,13.576266814123105,7.348788792143553,0.1729614274607209,0.04528697641899193,0.5601092896174864,6.58933617300088,-6.010042504883772,4.0,0.19402143260011281,0.25,0.7943289464517458,0.6342513370306266,0.9898814229141049,1.0,0.46191461350385554,1.0,2.334648616128323,2.334648616128323,0.24477864373431624,4.0,0.03254784533263898,0.25,108.86657233100689,72.14748090614461,1.0,0.1533169028482267,0.1533169028482267,0.0,0.0,0.0,0.2815808274339157,0.6276041666666666,1.2420897428836652,-0.18259818358708896,1.0,0.13234142521534847,1.0,1.403175364967686,1.403175364967686,0.7207492333006815,3.0,0.07726980038634901,0.3333333333333333,2.9777559245497067,3.073407245,0.9747516727622542,2.0,0.38299330607022913,1.0,20.544500013632305,20.544500013632305,0.28489706124606795
6,6.909830056250526e-05,0.6191880800650634,0.32958594059354424,0.288225328938068,0.38395604312209275,0.09892231583029243,0.0806220073521124,0.10475587081361575,0.5057215078991715,0.640809701686685,0.4204424907424712,0.9541359541359542,0.8221703035835977,0.8450704225352113,0.21621621621621623,9.575299039708627,-6.660465576844169,0.5348280788968642,0.9871794871794871,1.6663639325938073,-1.4976555393797062,0.0,4.0,0.4248133256748995,1.0,2.7818860151684692,2.569234875279202,0.32100435037131747,9.0,0.55864,1.0,11.317268292117227,4.0776782705359835,0.29428261267785727,0.7900320296526092,0.9746503496503496,4.227510283004468,1.7917406520286068,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5720776270526384,1.0,4.162647434025232,3.5071975458794706,0.6885745912595707,21.0,0.8016429871787396,1.0,11.98139916836538,8.869791030883789,0.1492013158850637,0.030819804618602186,0.6302367941712204,6.506202987628725,-6.286592898418729,4.0,0.08668341708542714,0.25,0.9944827210335954,1.0345588861943258,1.0,1.0,0.5318221447253705,1.0,4.618726035562066,4.618726035562066,0.4842550981569711,4.0,0.017525107316989523,0.25,109.78779977299112,73.98993579011307,1.0,0.14002839414668936,0.14002839414668936,0.0,0.0,0.0,0.3260900498018091,0.6966145833333333,0.9988858657492875,-0.8079861852210299,1.0,0.1703204047217538,1.0,1.4083618728702247,1.4083618728702247,0.7234133134203813,3.0,0.011474856564292946,0.0,3.1800107597554805,3.073407245,1.0,2.0,0.3711722712755965,1.0,26.146063815912225,26.146063815912225,0.7277324897849099
7,4.122147477075269e-05,0.6299619401686297,0.282855993735706,0.25012785493801004,0.33544056533503447,0.08310127211241018,0.06012103805489601,0.08613619139885313,0.37313636994005317,0.6434754536821432,0.4071288991076857,0.9631449631449631,0.8707404681961817,0.8656716417910447,0.13513513513513514,10.394641313209032,-5.017589272500693,0.5445880580445642,0.9878542510121457,1.4249981034438268,-1.0944107618836003,0.0,4.0,0.5204788286505738,1.0,2.117525099684533,1.837120772823356,0.2464992606097029,9.0,0.5581939991937497,1.0,9.291363021832565,1.7021165735867338,0.14309139323677333,0.7872701411677897,0.9737762237762237,4.752040112685303,2.868873863285942,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5685679611650486,1.0,4.636281228608119,4.657744208947754,0.7128946898289609,21.0,0.8005943036273621,1.0,13.613402632755935,5.741422585667543,0.1482197841232938,0.04476240342797303,0.6958105646630237,6.583874859500589,-6.021900668553012,4.0,0.2780487804878049,0.5,0.6966781740902463,0.5041089651143648,0.844848484682942,1.0,0.5467787114845938,1.0,2.215588339120803,2.215588339120803,0.23229564611009007,4.0,0.027702403524109038,0.25,109.13623852563163,72.68681329539407,0.9997751975781087,0.14647922628625695,0.14647922628625695,0.0,0.0,0.0,0.25189499379041586,0.8255208333333334,1.1879607449444234,-0.9166309316362805,1.0,0.2631578947368421,1.0,0.5276528040620208,0.5276528040620208,0.27103194901473654,3.0,0.06558441558441558,0.3333333333333333,3.013741361693922,3.073407245,0.9810637545716906,2.0,0.2885846186129472,1.0,32.30974229762144,32.30974229762144,0.8547342716352766
8,1.9098300562505263e-05,0.6308621414757534,0.24152151924350657,0.2128789937222383,0.28535608225913434,0.07202051630138351,0.043807331771900805,0.07482753853994839,0.33118805839024296,0.6497810603946723,0.41671030083510424,0.9680589680589681,0.8678180301178304,0.8571428571428571,0.1891891891891892,9.30001186222883,-6.127966208661387,0.5501351942101258,0.9898785425101214,1.5502778801094337,-1.1614545839460684,0.0,4.0,0.5500124100273021,1.0,2.4254369270881195,2.2990294578668102,0.31110891732163415,9.0,0.5587088281810234,1.0,10.060672955518669,2.1045684814453125,0.175428780730481,0.8031156579085733,0.9733391608391608,4.048134989171582,1.902473209836124,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5833071196392996,1.0,4.4511028991093795,4.211132157201412,0.6530248847777033,21.0,0.8162275471585737,1.0,11.445325687808484,5.182548634555964,0.20186814975383208,0.048130959231195314,0.6903460837887067,6.42585466430707,-6.140278689627138,4.0,0.22459292532285233,0.25,0.7839601651128343,0.6226600807361774,0.9965132856479935,1.0,0.6079295154185022,1.0,0.9207100104720318,0.9207100104720318,0.09653279130702583,4.0,0.026610031857080392,0.25,109.1697066818115,72.75374960775383,1.0,0.1454425938161356,0.1454425938161356,0.0,0.0,0.0,0.2654593919905223,0.8177083333333333,1.1439694155842086,-0.8741487387404396,1.0,0.20809248554913296,1.0,0.2903236730282486,0.2903236730282486,0.14912645273598202,3.0,0.12051201998126757,0.6666666666666666,2.8351979150307756,3.073407245,0.9693413169255943,2.0,0.3019186492709133,1.0,30.919108991621055,30.919108991621055,0.8208998104910228
9,4.894348370484646e-06,0.6122328029064485,0.24216045089092356,0.21340913533532577,0.28706980636178814,0.07042417231685558,0.0433061707916245,0.0762483952270801,0.32297390392703695,0.625746316419962,0.3788033631825507,0.9656019656019657,0.8514925132597965,0.8656716417910447,0.13513513513513514,9.708609572881624,-6.507641740146838,0.4851260681603319,0.9838056680161944,1.972694187443821,-1.859362746567716,0.0,4.0,0.46019693913868787,1.0,3.3156919183322078,3.267941161344832,0.5657436498884286,9.0,0.49270168691547944,1.0,13.428802779675001,8.289867377839983,0.37137634429633776,0.7928679175345293,0.9781468531468531,4.576960397914009,2.522719297950092,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5494462604283553,1.0,5.094627858705486,5.406227043961174,0.7712276765885704,21.0,0.8063807135361482,1.0,13.130962120821524,6.056701721005915,0.22840493442001777,0.04111059313305652,0.6575591985428051,6.439209380949963,-6.209016539932097,4.0,0.1899179366940211,0.25,0.8680528671309313,0.7816991783889977,0.9949407114570525,1.0,0.6395003903200625,1.0,1.0742351045080447,1.0742351045080447,0.112629288243528,4.0,0.01808837233233668,0.25,109.80392394058711,74.02218412530505,1.0,0.15094661353422062,0.15094661353422062,0.0,0.0,0.0,0.19610887390228518,0.7864583333333334,1.2372073417066751,-1.1129283651313366,1.0,0.21302681992337164,1.0,1.1637910166547925,1.1637910166547925,0.5977880626456689,3.0,0.09263428755226762,0.3333333333333333,2.961710486734418,3.073407245,1.0,2.0,0.21350675905941158,1.0,36.10291363123618,36.10291363123618,0.9108573954547159
10,0.0,0.6242237343023551,0.22445312037063572,0.19759514640898249,0.2629229262102619,0.07239560334772109,0.02713580456210215,0.06694385392900701,0.3374003802118075,0.6377372478158686,0.3965908415607418,0.9684684684684686,0.8604782961128006,0.8656716417910447,0.13513513513513514,9.406665416637829,-6.907198538054326,0.5155068837136305,0.9878542510121457,1.7463990155463072,-1.5896546486220835,0.0,4.0,0.5040829838887663,1.0,2.479509143124849,2.610256508045903,0.4706650708400786,9.0,0.5229854993618045,1.0,11.875204688694591,5.520687678476364,0.30871291026258657,0.8007747189572675,0.9746503496503497,4.1266389776469214,1.8146089221512525,1.0,0.0,0.0,1.6172732160000003,1.6172732160000003,1.0,4.0,0.5699156899033518,1.0,4.692395490374317,4.514292886204551,0.6922235138680835,21.0,0.8134391495943653,1.0,11.799289419025595,5.974335118412288,0.2172108730901614,0.05095486578083813,0.6903460837887068,6.413716009486582,-6.166297527037429,4.0,0.18106508875739644,0.25,0.8855252894052266,0.8166440229375882,0.9966271409713683,1.0,0.6447008806559368,1.0,1.6413380028859699,1.6413380028859699,0.17208777692734217,4.0,0.027944701298406243,0.25,109.18959315517989,72.79352255449061,1.0,0.10357421150963221,0.10357421150963221,0.0,0.0,0.0,0.21912689779123115,0.7890625,1.2122322806775458,-1.0694294960556971,1.0,0.1925808997632202,1.0,1.241889273261401,1.241889273261401,0.6379036889434763,3.0,0.10271132376395534,0.3333333333333333,2.9240736473377873,3.073407245,0.9972948220816701,2.0,0.24127794109490266,1.0,34.92202598519437,34.92202598519437,0.8882149584139202
