epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.45800419129115444,0.9303055094807061,0.7796075271301144,0.9833264238763564,0.26243506866221383,0.971862086122579,0.6027919301892272,0.0,0.48022641351337664,0.18242761347835906,0.8664874551971327,0.7996332636075957,0.78125,0.2222222222222222,18.491824912384125,-9.446170100624594,0.09476209167429893,0.9870967741935485,3.7939586180656257,3.7939586180656257,1.0,0.006571973712105152,1.0,21.91664913005676,21.91664913005676,18.19464403355471,2.0,0.08562758217249826,1.0,35.657262173629476,35.657262173629476,11.870592321175224,2.0,0.15041871877389187,1.0,47.13922407526569,47.13922407526569,1.6914984425012087,0.5596347614491418,0.9339622641509435,5.389014493356985,1.01941015862545,0.0,5.0,0.29273207004077717,1.0,6.704920888352778,3.9907698387095447,0.7816539830071032,9.0,0.5882696329368898,0.8888888888888888,33.87050363232721,19.135688832000003,0.5857690655438244,0.010583165130107468,0.6858237547892719,9.06746617236889,-8.794963237245746,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.01077288101368065,0.2857142857142857,84.65165509915576,68.61408652800002,1.0,0.24715804913824715,0.7662835249042146,5.511331177189925,-3.5629021351056993,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.2900287670032114,0.75,37.851167867237926,37.515045480626114,0.8107839288179044,0.0,0.625,1.9016735049642228,-1.9016735049642228,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.0,0.0,59.44579767630145,59.44579767630145,1.0
2,0.00018090169943749473,0.5777704164752082,0.6716285531867062,0.5987966381775665,0.836760410184514,0.11519322805905795,0.29169525492555237,0.29132765875791167,0.0,0.591659305364097,0.3896101399866384,0.8431899641577061,0.8294449274942277,0.8387096774193549,0.1388888888888889,14.60886518574297,-10.415420692541195,0.5356179296634638,0.9935483870967743,0.48722194236418925,-0.15510993877294607,1.0,0.1576923076923077,1.0,1.0858633081660032,1.0858633081660032,0.9014560685777325,2.0,0.293001014345747,1.0,4.238886081296128,4.238886081296128,1.7363269684512501,2.0,0.5981351981351981,1.0,10.87910966220424,10.87910966220424,0.16300848328283665,0.6387436949533492,0.9056603773584906,3.3271828684044094,-1.0453985579098681,0.0,5.0,0.18275975090134383,1.0,4.788007467645791,3.840596219524741,0.9353535336226588,9.0,0.6686789415434148,1.0,20.858327962174883,17.52969151114514,0.7007699741320902,0.24610855208615579,0.6954022988505748,8.12953151808362,-6.985871844403779,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.2620426547018778,0.5714285714285714,71.5051733021897,64.53668275304936,0.940574829728488,0.40949543027418356,0.8045977011494252,4.522154533862184,-3.1137210222730736,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.4489300748362956,0.875,31.82804476331639,28.211308534196984,0.6185917619429768,0.11808509295603993,0.748015873015873,2.2747598869141163,0.8846806708184703,0.0,2.0,0.09956236323851203,0.5,13.109096861130219,13.109096861130219,2.3943074571678586,2.0,0.1578894773658439,1.0,36.3817589436038,36.3817589436038,0.641445504606222
3,0.00015877852522924732,0.5836769051329856,0.48552281274260467,0.43409215164656684,0.5910247363666497,0.11784793141608436,0.17358621135323304,0.2057226480479681,0.0,0.6114546829107634,0.3946667884308857,0.8915770609318997,0.8460988732947093,0.8450704225352113,0.2777777777777778,14.35456287076983,-1.5403415217439251,0.5513628550380617,1.0,0.6581296387562827,0.404360882402528,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.3444395083666519,1.0,6.400807681973985,6.400807681973985,1.8525272021861063,2.0,0.5919353675250667,1.0,14.968535284333672,14.968535284333672,0.28536793968521085,0.6542243595058452,0.9245283018867924,3.928990210750589,1.8453303282841862,0.0,5.0,0.4168688698267318,1.0,9.747491212212616,2.7921859617345035,0.4469135654383029,9.0,0.6968515667676417,1.0,18.45519004647098,11.226030868209076,0.3325638363420456,0.2453796615246368,0.8007662835249042,9.017259232338517,-5.400552540329521,0.0,2.0,0.0,0.5,2.8498583995965587,2.8498583995965587,0.9799568042682074,7.0,0.27863590175295383,0.7142857142857143,68.18528251216945,64.50976919677906,0.9401825843801612,0.4049267848683405,0.7988505747126436,6.027611518110842,-0.3893680261578203,1.0,0.06349206349206349,0.0,1.1415880476129763,1.1415880476129763,0.9695237379917895,0.0,8.0,0.5056106575903422,0.75,29.45506950443637,27.994684116870708,0.8433981584575648,0.11744028121754414,0.7063492063492063,3.133485768184152,1.9998878340567008,0.0,2.0,0.08525414596180327,0.5,15.79151908230282,15.79151908230282,2.816975811031489,2.0,0.19043758636573008,1.0,36.256855401614175,36.256855401614175,0.619943300392725
4,0.00013090169943749474,0.6216036949953831,0.3972529484690613,0.3609208324217167,0.48178728795287634,0.11692746055370855,0.13668992567427837,0.14532846181650366,0.0,0.6382703616620499,0.4534262076603679,0.8714157706093191,0.8497414417736788,0.8787878787878788,0.16666666666666666,10.479545168365155,-6.953579560619283,0.6411420271435704,0.9870967741935484,0.207156219591925,0.13753466783834223,1.0,0.192090395480226,1.0,1.0574778878361344,1.0574778878361344,0.8778912154115381,2.0,0.37510282423910063,1.0,1.0716239353790493,1.0716239353790493,0.4299359237679664,2.0,0.672847415894073,1.0,5.206139012724616,5.206139012724616,0.11522006423973445,0.6582916708901322,0.9299191374663073,2.7260194016985815,-1.1961330017111982,0.0,5.0,0.39835710417042786,1.0,6.252371797464427,1.7913636865803726,0.4440403891548655,9.0,0.6926254281684465,1.0,13.810800298029132,13.730514263704524,0.543459191572538,0.35462962962962963,0.6915708812260536,8.019014839993483,-5.4622608751698545,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.3855535271300798,0.8571428571428571,63.68470527571026,56.53438535534643,0.8239472128259828,0.5305905890415501,0.7988505747126436,3.858179405938679,-1.0038008363206676,1.0,0.0,1.0,0.6302271340978853,0.6302271340978853,0.53523700437479,0.0,8.0,0.5946987295038809,0.75,22.878848909886123,11.523565045336827,0.2925099237630236,0.0824771215969572,0.8412698412698413,2.4236790081590227,0.5710804847440953,0.0,2.0,0.09796795823309618,0.5,19.44807731934137,19.44807731934137,3.3931384444367456,2.0,0.11109211265541415,1.0,29.94396026720003,29.94396026720003,0.5545007015852716
5,9.999999999999999e-05,0.6117306362405582,0.32339568618107156,0.29140289233561,0.3827858846573153,0.10983332630674118,0.0830082311552393,0.12797117671581976,0.0,0.6339528584627805,0.43059814850627776,0.8884408602150538,0.8706107914654098,0.8695652173913043,0.2222222222222222,12.106144916942748,-9.605802337898238,0.6431808134394341,0.9870967741935484,0.5266579804026783,-0.4546243776673705,1.0,0.020876826722338204,0.0,1.191663511213696,1.191663511213696,0.9892887031062753,2.0,0.4673599075678798,0.5,1.6126392157896967,1.6126392157896967,0.65858226609264,2.0,0.6802186753801684,1.0,14.83163473706647,14.83163473706647,0.2252626471211958,0.6863878753859107,0.9427223719676551,2.976372638391611,-0.5010075460906248,0.0,5.0,0.43430047090991947,1.0,7.374252684168158,1.1423321904996064,0.31564697451763357,9.0,0.7291571300279198,1.0,13.651682066461287,12.612140121672699,0.4079208304684699,0.29273274846143776,0.8371647509578544,8.37096088874479,-5.760893592388605,0.0,2.0,0.0932806324110672,0.5,2.782574229524033,2.782574229524033,0.9592224638560081,7.0,0.32465271284972846,1.0,66.83599666556009,68.22832555479236,0.9781231849805455,0.46784739964491406,0.8122605363984674,4.535887288426471,-1.201646607739441,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5697373191391187,0.75,24.026495155644454,17.672525119312894,0.5165780764234195,0.06284190559969212,0.7738095238095238,1.7778828520421601,-1.6876302140121968,0.0,2.0,0.023336745138178096,0.5,1.6307426203512452,1.6307426203512452,0.5856670970783651,2.0,0.0711757766417617,1.0,56.41660123605922,56.41660123605922,0.9452777800430772
6,6.909830056250526e-05,0.621677681495422,0.2822201353291867,0.2569904570335602,0.3408802525438491,0.0918681548551807,0.06528896135938886,0.10091871479311006,0.0,0.6383443481620887,0.43929011541944857,0.903225806451613,0.8384469516393876,0.8955223880597015,0.16666666666666666,12.105318650586506,-9.032835862166976,0.6379688036105466,0.9935483870967742,0.48261767304871867,-0.3433648227584121,1.0,0.17490494296577946,1.0,1.0703803516224384,1.0703803516224384,0.8886025123052629,2.0,0.4797621769951978,1.0,2.5622680955715094,2.5622680955715094,0.8518916189658693,2.0,0.6745220780017798,1.0,12.532279696762107,12.532279696762107,0.1890619380450973,0.6939850800772079,0.9285714285714286,3.408666550177273,0.8831900006345504,0.0,5.0,0.44111017187940266,1.0,8.523699176428043,2.788633152585315,0.47581772971152997,9.0,0.7368885915890855,1.0,15.919245333208822,13.912922659154159,0.39846129852417944,0.2699837388004974,0.7873563218390806,8.008554212860261,-6.357647254465397,0.0,2.0,0.218475073313783,0.5,2.560536468284698,2.560536468284698,0.8907991404957505,7.0,0.28573849601952317,0.7142857142857143,68.0209537455486,61.935038980253566,0.9026577793902296,0.5666534293980825,0.8716475095785441,3.43457799269521,-1.491757553732947,1.0,0.0,0.0,1.0787893389356844,1.0787893389356844,0.9161902794774212,0.0,8.0,0.6345951028602651,0.875,20.494181433300945,10.991345998770964,0.2662149175141936,0.027859525210908377,0.611111111111111,1.8039188046359298,-1.7232562318447695,0.0,2.0,0.047214353163361665,0.5,1.1017416051127813,1.1017416051127813,0.502312587658409,2.0,0.02521777446361387,1.0,57.97844025593892,57.97844025593892,0.9772575122102185
7,4.122147477075269e-05,0.6286341218552162,0.2532118068817425,0.23237955350146042,0.3092873247936614,0.08224043955798983,0.05117293398000497,0.08332901561737258,0.0,0.6508563440774384,0.4608367129429786,0.8902329749103943,0.868841729904546,0.8695652173913043,0.2222222222222222,10.84637791862336,-7.4207721499628505,0.6390865217174984,0.9870967741935484,0.40854069662714204,-0.2098993092200653,1.0,0.22784810126582278,1.0,1.0007070471763968,1.0007070471763968,0.8307615090791494,2.0,0.5629257798494084,1.0,2.7645404992244362,2.7645404992244362,0.7545165141370132,2.0,0.6660923808109313,1.0,9.858516574352524,9.858516574352524,0.14489547415678705,0.7014335703804041,0.9305929919137466,2.894614114544117,0.3883731102797957,0.0,5.0,0.4626256169880331,1.0,8.015847416770418,2.00308681698516,0.3160253122834781,9.0,0.7426007535714761,1.0,12.755163209983474,12.806433163563156,0.4023074539044596,0.386472867686325,0.7988505747126438,7.788427693029197,-4.515684286615547,0.0,2.0,0.23369175627240144,0.5,2.491009492543088,2.491009492543088,0.8693736554031446,7.0,0.42978715281091917,0.8571428571428571,58.172247476144676,58.19405465868168,0.8481356759728028,0.5405051664753158,0.8697318007662835,3.7036089178646137,-1.4728042931738867,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.6067378080214455,0.75,21.68174150676242,13.682116340785694,0.3671320974643256,0.03668543845534996,0.7579365079365079,1.8709605702841898,-1.610757371233147,0.0,2.0,0.028770510227017307,0.5,2.1932900414340994,2.1932900414340994,0.6743075022176352,2.0,0.04106504172738111,0.5,56.12548547898129,56.12548547898129,0.9507246884074556
8,1.9098300562505263e-05,0.6303660653617679,0.2371383499440187,0.21943152949164804,0.2916807666076685,0.0792624335336459,0.04194375589353927,0.07082728169268311,0.0,0.6470327320284346,0.45034302090515654,0.8906810035842294,0.8809317963688649,0.8955223880597015,0.16666666666666666,11.359008528560043,-7.953380775219488,0.6280388553426096,0.9935483870967742,0.4986523258126685,-0.3482884220510058,1.0,0.06109979633401222,0.0,1.1606975981265664,1.1606975981265664,0.963581590561336,2.0,0.5747588424437299,1.0,2.3389915037117515,2.3389915037117515,0.6688708910243155,2.0,0.6506217905091877,1.0,13.372333796210132,13.372333796210132,0.21366015056340154,0.6943968963871247,0.9339622641509434,2.836093074366986,-0.06070601437333232,0.0,5.0,0.4643018867924528,1.0,7.3158487695164585,1.6321939255857583,0.3196904192767613,9.0,0.7291549970643217,1.0,13.796134759181776,12.719745336297077,0.4489736590567205,0.3536571501655559,0.8160919540229886,8.238678232481785,-4.912771127645482,0.0,2.0,0.3211407315561066,0.5,2.0020778566827344,2.0020778566827344,0.7187041150744967,7.0,0.3930914850290369,1.0,62.36705683584257,60.33816797488235,0.8701786307544993,0.5358784452765901,0.8793103448275862,3.9391624859467878,-1.071769265369533,1.0,0.0,1.0,0.5494859372270815,0.5494859372270815,0.4666654148563164,0.0,8.0,0.6123439623297412,0.75,22.055707617537387,14.492233138575074,0.4197137040511682,0.03974375735390247,0.7817460317460317,1.857296160397589,-1.5598459457801341,0.0,2.0,0.01707481464839362,0.5,2.1907095486768386,2.1907095486768386,0.6739008948546111,2.0,0.047092587157160096,1.0,55.04642072980002,55.04642072980002,0.9338511798355098
9,4.894348370484646e-06,0.6300408172071494,0.21378298957060665,0.19660100966642793,0.26186018218301704,0.07211517157046918,0.02303173789409106,0.06872791932471613,0.0,0.6467074838738162,0.4474115660777125,0.8960573476702509,0.8787594548666599,0.8955223880597015,0.16666666666666666,11.113851663699766,-8.076399568967318,0.6196715162232403,0.9935483870967743,0.5736394040233134,-0.4095631999403687,1.0,0.12180746561886051,0.0,1.114248728495872,1.114248728495872,0.9250209217439269,2.0,0.5582036635808548,1.0,2.475774607170335,2.475774607170335,0.7018020788405596,2.0,0.6447829689591433,1.0,15.690846784486912,15.690846784486912,0.23886821113115775,0.6988662872765635,0.9373315363881402,2.9768137021449874,0.38460745384768663,0.0,5.0,0.4670278078728783,1.0,7.921483335912933,2.170848052483052,0.342492860463481,9.0,0.7361012205422056,1.0,14.025939450522962,13.887511035397754,0.3903205975078611,0.3657234120395126,0.803639846743295,8.003566838564655,-4.848475734835351,0.0,2.0,0.28769017980636236,0.5,2.3766264034197944,2.3766264034197944,0.8341252767024059,7.0,0.4055569916731292,1.0,60.82716762886581,60.78672724605404,0.885921977861619,0.5330718939215336,0.8735632183908045,3.737491960918632,-1.5646562978380165,1.0,0.0,1.0,0.814137638081383,0.814137638081383,0.6914278471668688,0.0,8.0,0.6003535834320907,0.75,22.210632167260712,15.95005431729075,0.4501570030178118,0.019724720927712148,0.7857142857142858,1.867280779465154,-1.6383117902012674,0.0,2.0,0.0,0.5,2.331346403947552,2.331346403947552,0.6960609961394287,2.0,0.024191672481972553,0.5,56.387329137965,56.387329137965,0.9545877758211412
10,0.0,0.6271254615662991,0.20890626067867374,0.1928112413918618,0.2562593219697279,0.07165556888345002,0.023264801810613123,0.06438007705196394,0.0,0.6437921282329658,0.44093242305355596,0.8960573476702509,0.8830806083495654,0.8955223880597015,0.16666666666666666,11.638963227424233,-8.938597509382367,0.61704602093371,0.9967741935483871,0.6317698553623741,-0.4915667996264442,1.0,0.09580838323353294,0.0,1.1348926705539584,1.1348926705539584,0.9421589967738865,2.0,0.5525423728813559,1.0,2.278920594617686,2.278920594617686,0.6900375492881692,2.0,0.642340543901561,1.0,17.856167399771056,17.856167399771056,0.28519643077446166,0.695674179228255,0.9433962264150944,2.8034725573304002,-0.1020960603780387,0.0,5.0,0.4699206290334545,1.0,7.486156952929457,1.5588302118703723,0.26813649859788286,9.0,0.730184223277121,1.0,13.529454755417046,11.76879198123805,0.43264169276587583,0.34334519470312325,0.8237547892720306,8.201102694500042,-5.1566262278782835,0.0,2.0,0.2984878369493754,0.5,2.20841597823848,2.20841597823848,0.7822894256719077,7.0,0.37976864484539596,1.0,63.295298134742424,61.114175514009375,0.8906942962662618,0.5318153444395448,0.8697318007662835,3.7844162103336543,-1.5178904748165412,1.0,0.0,1.0,0.5450003151787035,0.5450003151787035,0.4628558821052901,0.0,8.0,0.6016612027522579,0.75,22.26469462350252,15.766144822860923,0.4541409396240294,0.016781375963146782,0.7817460317460319,1.8887823169262101,-1.6704179466830589,0.0,2.0,0.0,0.5,2.381666012714138,2.381666012714138,0.7039898397184001,2.0,0.020565207164219227,0.5,57.23493840274111,57.23493840274111,0.9671059218541669
