epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.21070124505799434,1.4545695828919363,0.7670356861435541,0.9766952743624696,0.2503747081095138,0.8910526924400833,2.750135590534399,0.0,0.4629181161784517,0.13762978788296448,0.8727598566308243,0.835958505690493,0.7228915662650602,0.6111111111111112,34.923737430033285,16.487072859179797,0.11234516939597018,0.9661290322580645,18.15620231504336,18.15620231504336,1.0,0.0,1.0,31.709619143861495,31.709619143861495,26.324518375891778,2.0,0.03685436071126164,1.0,140.83436372797854,140.83436372797854,43.943299278596015,2.0,0.27926984533558336,1.0,255.78642884410965,255.78642884410965,5.152168787571281,0.43325225429622166,0.9245283018867925,7.529561784694948,3.342568795126981,0.0,5.0,0.1099401547219384,0.6,16.81892589138412,5.105545325,0.9985634118582813,9.0,0.500842749235283,1.0,34.46353268194407,15.547873073568844,0.6427571506965412,0.014137834831538024,0.6704980842911877,12.535410925624154,-3.8508875004447325,0.0,2.0,0.0,0.5,8.636577244998596,8.636577244998596,2.763196432265755,7.0,0.018346208277891924,0.8571428571428571,78.69267668437526,65.99820406681599,0.9740414865219356,0.07929887454542321,0.8448275862068965,6.085813529169305,-5.432984842833833,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.08352546065172006,0.875,48.08778405476314,39.69254797133215,0.9440597435569347,0.049114806345669254,0.7738095238095238,4.488278009618677,4.272174092288021,0.0,2.0,0.017219930596477445,0.5,33.65239970168344,33.65239970168344,5.6313086742033205,2.0,0.12307477629903543,1.0,5.321877907433976,5.321877907433976,0.09056318229082833
2,0.00018090169943749473,0.4588631638028057,0.8266783030119667,0.5555323695782388,0.7598462521833161,0.14089711901513557,0.2463666855360661,1.0845837276367465,0.0,0.6032925051136435,0.37845833098543025,0.875,0.8842694871443795,0.8,0.3888888888888889,19.853892388688045,6.270990478508767,0.6262497659614304,0.9774193548387097,0.8147696350283828,0.7618635139710864,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4319897221776136,1.0,4.5112273954003665,4.5112273954003665,1.251267322514575,2.0,0.6635028151088294,1.0,21.720271301009216,21.720271301009216,0.35002495842994075,0.6180618416046808,0.9622641509433962,4.092767182414161,-1.3655676625692144,0.0,5.0,0.3732337057039284,1.0,8.694773249072156,2.0931808138266206,0.337380490097945,9.0,0.6562903599695334,1.0,22.481168870514743,20.14346138640411,0.7148296668520348,0.10670212517787575,0.6685823754789272,10.208163806393713,-5.4683926458394625,0.0,2.0,0.21844660194174756,0.5,1.9235796582647877,1.9235796582647877,0.6945140512602642,7.0,0.12376730795594754,1.0,74.47392597618311,56.47607265009411,0.8230973479046081,0.44424231217108384,0.8448275862068965,5.225990501743162,-0.16327722047631454,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5770973731707634,0.875,23.191883489197437,16.2478758359667,0.36803782257397577,0.09703561001208015,0.9682539682539683,12.506364493422671,12.506364493422671,0.0,2.0,0.06746645339020706,1.0,70.25298676649064,70.25298676649064,13.855278731485793,2.0,0.21088888297069608,1.0,128.87664636588946,128.87664636588946,1.9956636172752358
3,0.00015877852522924732,0.5465011521700925,0.5521440795152495,0.3980065328945028,0.5305101145612131,0.13313234734376617,0.13157299967565675,0.6165501889726608,0.0,0.6407970601654085,0.4332260254861772,0.8902329749103942,0.9030190244992855,0.8378378378378378,0.3333333333333333,11.879438255920672,1.5653833823793235,0.6451133855107365,0.9903225806451613,0.5187839557174965,0.4623783294964189,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.42757417102966844,1.0,4.8180464610076665,4.8180464610076665,1.3630956137327146,2.0,0.6913317237134877,1.0,11.59135895856544,11.59135895856544,0.1625777319900475,0.6597674061171167,0.9460916442048518,4.017417705846871,1.321263841241925,0.0,5.0,0.40803556726494317,1.0,9.768311689547835,1.8598004209587105,0.3173332473641127,9.0,0.7075999251810812,1.0,18.733742829106763,10.997263787510914,0.4433660098295511,0.25743386617626257,0.7749042145593869,8.439117357888966,-4.873094363628121,0.0,2.0,0.2765312310491207,0.5,1.9213368525957035,1.9213368525957035,0.6938229065798576,7.0,0.29455767077267636,1.0,63.15948842366158,38.75349584610068,0.7483838522579332,0.43721483369995257,0.8553639846743295,6.127274953053602,2.8470646596022102,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.642632727438906,0.875,16.41242093661752,5.525586224129203,0.15648070697078306,0.16660063592681762,0.9484126984126984,2.2861242829188453,1.8077709156668904,0.0,2.0,0.13570380035883217,1.0,16.62719634260296,16.62719634260296,2.669573959772805,2.0,0.2325783680706567,1.0,24.852650007636715,24.852650007636715,0.40472247146843376
4,0.00013090169943749474,0.49027411995094744,0.4267807193715187,0.3363375161150501,0.44260640703018744,0.1252979739882642,0.09578143755702467,0.361772813120966,0.0,0.5898343233574606,0.3441353809046297,0.8906810035842294,0.8890370852309694,0.8615384615384616,0.16666666666666666,14.116189331099292,-12.312590084350004,0.5168745783149825,1.0,1.7568295414960435,1.7244157114015362,1.0,0.0,1.0,1.0858633081660032,1.0858633081660032,0.9014560685777325,2.0,0.18409692243420137,1.0,17.043432646113555,17.043432646113555,4.649697893047706,2.0,0.6293054664805523,1.0,38.888497128636104,38.888497128636104,0.6424063429995726,0.5730544924680586,0.942722371967655,4.812782355046649,-2.1746065362477047,0.0,5.0,0.3010597519729425,0.6,8.182590077384948,5.035871857106846,0.986353373937944,9.0,0.6255411001030293,1.0,24.632865172412444,15.439536264136539,0.5908116940144994,0.18821786756251355,0.7988505747126436,8.504283411911423,-6.613615149851082,0.0,2.0,0.013179571663920923,0.0,2.8969573186473268,2.8969573186473268,0.9944708425567468,7.0,0.20485062325697434,0.8571428571428571,71.52224102596418,44.05010778915809,0.8600709378944323,0.3024862893858527,0.8544061302681992,5.123058973180998,-4.2408413621198955,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.32377265251843285,0.75,39.06414852607249,32.61407914412845,0.9227121916792276,0.14004367679174112,0.8492063492063492,1.8957938079430188,-1.007942747532859,0.0,2.0,0.14980933357544943,0.5,8.451307434274476,8.451307434274476,1.6603811669092212,2.0,0.15548394521809183,1.0,47.55052230422095,47.55052230422095,0.7976039992791073
5,9.999999999999999e-05,0.5216413771561603,0.34085100436761434,0.27995402724927804,0.36640193222379525,0.10736760299609784,0.08428239157859839,0.24358790470872163,0.0,0.6155207953557542,0.39726329701306795,0.8875448028673835,0.8717502742556785,0.8529411764705882,0.2222222222222222,12.489332125810595,-9.210535348318617,0.586952288218111,0.9516129032258065,0.6541428633887595,-0.5104548149195295,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.5128094725511303,1.0,3.1446964661739383,3.1446964661739383,1.0187229169559229,2.0,0.6071498086031273,1.0,18.1668064698495,18.1668064698495,0.24114471459703674,0.6447848366605919,0.9743935309973046,5.882465978051942,2.4333639594466816,0.0,5.0,0.3624142566612664,1.0,10.275994179244725,2.8126503380724914,0.4799157239787122,9.0,0.7121344907659142,1.0,27.845217685013196,12.540033233154961,0.44843016770929217,0.22698198217042265,0.7068965517241379,7.97672687602624,-7.072452761688144,0.0,2.0,0.08874801901743265,0.5,2.7893026465312856,2.7893026465312856,0.961295897897228,7.0,0.2376335827609664,0.7142857142857143,71.22413036719561,58.02360213563644,0.9112544296380618,0.5100752431638833,0.842911877394636,3.89362055852629,-2.1919905543450557,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5603817332571659,0.875,25.33631240714876,16.58060041695997,0.4965338192735029,0.017522134852331124,0.8829365079365078,1.8854831110946662,-1.8690011768125716,0.0,2.0,0.0,0.5,4.11914416602858,4.11914416602858,0.9350910138899604,2.0,0.019346458846048672,1.0,58.76846765641764,58.76846765641764,0.9874834109213757
6,6.909830056250526e-05,0.5834415868953444,0.2980220526850263,0.24758097502363002,0.3289018458265676,0.08910507970050026,0.05216010219936963,0.20176431217249755,0.0,0.6660948291209922,0.45567470492218554,0.9301075268817205,0.90960988899516,0.8955223880597015,0.16666666666666666,11.515660908152972,-8.408271018216182,0.6207901802838511,0.9903225806451613,0.6730005992175564,-0.31967007407398185,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.3363544813695871,1.0,6.59441573546823,6.59441573546823,1.8898734848573921,2.0,0.6924873737373738,1.0,15.348821350819907,15.348821350819907,0.21173062539784368,0.6765524500058473,0.9743935309973046,4.346091452342781,1.0519793928814016,0.0,5.0,0.4056468906361687,1.0,9.482953926488397,3.267509462311864,0.5155122031957222,9.0,0.7329500792709736,1.0,19.98901362019158,9.919995228056212,0.39544268059135457,0.33029384216118557,0.7950191570881227,7.788526524866137,-5.662511667646801,0.0,2.0,0.08267090620031796,0.5,2.7982738692076223,2.7982738692076223,0.9640604766188546,7.0,0.3615824710894705,0.8571428571428571,63.57331881582403,48.68908370255359,0.8806209138694757,0.5766217486681291,0.8716475095785441,3.2576115791871656,-1.710100650545995,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.6227131956195524,0.875,20.65511083400761,13.558645404831118,0.32493417731507096,0.0741153034919147,0.9166666666666666,1.7873269219309365,-1.7679680188308062,0.0,2.0,0.0,0.5,3.87319082641088,3.87319082641088,0.9390088955463737,2.0,0.0821802117845774,1.0,55.6779994313483,55.6779994313483,0.9348413859291822
7,4.122147477075269e-05,0.5656173675509452,0.25672680729686626,0.223757570996733,0.2973352080524558,0.0829428463744725,0.02919394520014177,0.1318769458732344,0.0,0.649085590119746,0.43797652025742034,0.9166666666666667,0.8879900265210987,0.8823529411764706,0.19444444444444445,11.433779385218836,-6.854881198262174,0.6341885563021787,0.964516129032258,0.6270328123388754,-0.31779569385720097,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.38563789152024447,1.0,5.797441540300808,5.797441540300808,1.6672783496444163,2.0,0.6939382670137597,1.0,14.604235892630658,14.604235892630658,0.27448288822180766,0.6736418554652066,0.9690026954177898,5.380392689823969,2.7642671359846607,0.0,5.0,0.4082806210465785,1.0,9.2429387872439,1.2438698115536697,0.2122384972872722,9.0,0.7359967166323095,1.0,25.498700584600385,9.472212885309407,0.3705125694274768,0.2767452792332122,0.768199233716475,8.16521410798701,-6.1674672055246385,0.0,2.0,0.07484076433121019,0.5,2.8027594805457907,2.8027594805457907,0.9654427659796678,7.0,0.305191462066288,0.7142857142857143,67.79132929164982,55.43541514097579,0.8398657237287486,0.5453787054625804,0.8850574712643677,3.6768943558953215,-1.3553268120351192,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.6192533425497462,0.875,20.967863278549714,13.183890176411193,0.32225827766404125,0.05992820482392382,0.8531746031746031,1.8204169627345037,-1.7785586228298769,0.0,2.0,0.0,0.0,4.257684247242739,4.257684247242739,0.9995933926369758,2.0,0.06641459806016768,1.0,56.025156810960624,56.025156810960624,0.9452193228079139
8,1.9098300562505263e-05,0.5838272053495642,0.23426243616114356,0.21326216900407677,0.28219998256601514,0.08144504128933788,0.026528481540820336,0.084001067460668,0.0,0.6653967449347238,0.4595749809843447,0.921146953405018,0.9085761291455249,0.8823529411764706,0.19444444444444445,10.982440782001849,-7.212891230705753,0.6316455348056877,0.9903225806451613,0.6822078285421312,-0.4952342478359038,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4574144486692015,1.0,3.7923500198088202,3.7923500198088202,1.1516232309118313,2.0,0.6714346363606675,1.0,18.452774077169142,18.452774077169142,0.31414919815973674,0.6821646908430701,0.9723719676549866,4.9697160064378485,2.2840659705808513,0.0,5.0,0.4098784142183033,1.0,9.233789753388255,2.5178459438273437,0.41209270938126646,9.0,0.7443645114225622,1.0,22.82676032217097,10.658698960010359,0.3610376996069494,0.378950621498568,0.7931034482758621,7.540101839163493,-5.1998646047641035,0.0,2.0,0.2926490984743412,0.5,2.385597626096131,2.385597626096131,0.8368898554240325,7.0,0.4131279598483299,1.0,60.28824008848317,41.399111488300576,0.8183811583290567,0.5499171374308974,0.8783524904214559,3.462106089933185,-2.0090973474166858,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5940503492299952,0.875,22.76348026590258,13.106183073992696,0.3736401482827571,0.05519692034350015,0.9087301587301587,1.8388969191874747,-1.7927610012699136,0.0,2.0,0.0,0.5,3.8486761452169023,3.8486761452169023,0.935146125597644,2.0,0.0620671283963772,1.0,56.98159402244434,56.98159402244434,0.9594818540634764
9,4.894348370484646e-06,0.5866680238812032,0.20888740184529386,0.19472699255218404,0.2595125094498738,0.07025875376380684,0.029066075739068848,0.05664163751613057,0.0,0.6661624032001503,0.4591058994385365,0.9233870967741936,0.9109201965113145,0.8823529411764706,0.19444444444444445,10.762715762077947,-6.236356064112846,0.648019953171129,0.9870967741935484,0.5922153689845143,-0.2972238462024331,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.4005619731501717,1.0,5.501292665969542,5.501292665969542,1.5825662788657429,2.0,0.7067975551027968,1.0,13.706140934936247,13.706140934936247,0.2243859615178509,0.6748449202524883,0.9703504043126685,5.170218635951326,2.552954419512323,0.0,5.0,0.4112884100687739,1.0,9.518482551011829,2.5968114065715797,0.4430876491654604,9.0,0.7373566565833067,1.0,23.73221376533601,11.006123059232184,0.4073390030485593,0.38166454692753976,0.8122605363984674,7.5993323716432855,-4.812395022813731,0.0,2.0,0.3123784834737524,0.5,2.159074253518628,2.159074253518628,0.7670842427029616,7.0,0.4233389623245793,1.0,58.78210274389611,44.29768843778275,0.8149861971921357,0.5379758533313459,0.8840996168582376,3.626542297223073,-1.8824011363427766,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.590226129502803,0.875,22.966960177377416,14.042018805570375,0.3931845363537349,0.05302422351017982,0.9007936507936508,1.8452775987772128,-1.7972904782662302,0.0,2.0,0.0,0.5,4.0512448266618755,4.0512448266618755,0.9670648035950418,2.0,0.05937364795154258,1.0,56.96177046381578,56.96177046381578,0.9590279168068016
10,0.0,0.5712478073804372,0.21006960537370675,0.19623963844658124,0.26326087894219374,0.06905904563033197,0.01898816263154472,0.05531986598420007,0.0,0.6566222651664869,0.4440802747626046,0.9229390681003584,0.9033092907796456,0.8823529411764706,0.19444444444444445,11.578923158750683,-8.035397547851764,0.6482261584530274,0.9838709677419354,0.6225592623717163,-0.29603918570588145,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.36989376028729615,1.0,6.1301023736744735,6.1301023736744735,1.7654877957317046,2.0,0.7154995968492216,1.0,14.118433549515448,14.118433549515448,0.23469616063101628,0.6753012820870302,0.975067385444744,4.815114238055844,2.058122470988594,0.0,5.0,0.41094246381927285,1.0,9.226990794703005,2.518797281663865,0.3973885159479315,9.0,0.7364093718556849,1.0,21.673783718872002,11.84518503471131,0.35406158115416103,0.3155293439864158,0.803639846743295,7.933814903345959,-5.948403500249914,0.0,2.0,0.1250965250965251,0.5,2.7152900594515073,2.7152900594515073,0.9384881234438088,7.0,0.3431448265608286,1.0,65.66053377165125,53.01319507664867,0.8816705445209874,0.5262589753541627,0.8888888888888888,3.7895360488025682,-2.0730697786378007,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5768778211358333,0.875,24.40247777440654,15.493602238725916,0.44065982419336414,0.055085613932386944,0.8650793650793651,1.8221518360040077,-1.7760075542467628,0.0,2.0,0.0,0.5,3.4112826228611968,3.4112826228611968,0.8662261775650462,2.0,0.06254153927954273,1.0,56.857887163839194,56.857887163839194,0.9574025542052896
