epoch,learning_rate,calibration_checkpoint_score,train_loss,train_segmentation,train_dice,train_focal,train_empty_foreground,train_classification,train_ivh_center,train_physical_volume,train_physical_volume_subtype,train_physical_volume_total,calibration_selection_score,calibration_mean_foreground_dice,calibration_any_ich_study_auc,calibration_macro_subtype_study_auc,calibration_presence_f1_at_0_1ml,calibration_normal_fpr_at_0_1ml,calibration_total_volume_mae_ml,calibration_total_volume_bias_ml,calibration_ivh_dice_known_pixels,calibration_ivh_study_auc,calibration_ivh_mae_ml,calibration_ivh_bias_ml,calibration_ivh_small_le_2ml_positive_studies,calibration_ivh_small_le_2ml_dice_known_pixels,calibration_ivh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_ivh_small_le_2ml_mae_ml,calibration_ivh_small_le_2ml_median_absolute_error_ml,calibration_ivh_small_le_2ml_median_relative_absolute_error,calibration_ivh_medium_gt_2_le_10ml_positive_studies,calibration_ivh_medium_gt_2_le_10ml_dice_known_pixels,calibration_ivh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_medium_gt_2_le_10ml_mae_ml,calibration_ivh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_ivh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_ivh_large_gt_10ml_positive_studies,calibration_ivh_large_gt_10ml_dice_known_pixels,calibration_ivh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_ivh_large_gt_10ml_mae_ml,calibration_ivh_large_gt_10ml_median_absolute_error_ml,calibration_ivh_large_gt_10ml_median_relative_absolute_error,calibration_iph_dice_known_pixels,calibration_iph_study_auc,calibration_iph_mae_ml,calibration_iph_bias_ml,calibration_iph_small_le_2ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_positive_studies,calibration_iph_medium_gt_2_le_10ml_dice_known_pixels,calibration_iph_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_iph_medium_gt_2_le_10ml_mae_ml,calibration_iph_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_iph_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_iph_large_gt_10ml_positive_studies,calibration_iph_large_gt_10ml_dice_known_pixels,calibration_iph_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_iph_large_gt_10ml_mae_ml,calibration_iph_large_gt_10ml_median_absolute_error_ml,calibration_iph_large_gt_10ml_median_relative_absolute_error,calibration_sdh_dice_known_pixels,calibration_sdh_study_auc,calibration_sdh_mae_ml,calibration_sdh_bias_ml,calibration_sdh_small_le_2ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_positive_studies,calibration_sdh_medium_gt_2_le_10ml_dice_known_pixels,calibration_sdh_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_medium_gt_2_le_10ml_mae_ml,calibration_sdh_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sdh_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sdh_large_gt_10ml_positive_studies,calibration_sdh_large_gt_10ml_dice_known_pixels,calibration_sdh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sdh_large_gt_10ml_mae_ml,calibration_sdh_large_gt_10ml_median_absolute_error_ml,calibration_sdh_large_gt_10ml_median_relative_absolute_error,calibration_edh_dice_known_pixels,calibration_edh_study_auc,calibration_edh_mae_ml,calibration_edh_bias_ml,calibration_edh_small_le_2ml_positive_studies,calibration_edh_small_le_2ml_dice_known_pixels,calibration_edh_small_le_2ml_presence_sensitivity_at_0_1ml,calibration_edh_small_le_2ml_mae_ml,calibration_edh_small_le_2ml_median_absolute_error_ml,calibration_edh_small_le_2ml_median_relative_absolute_error,calibration_edh_medium_gt_2_le_10ml_positive_studies,calibration_edh_large_gt_10ml_positive_studies,calibration_edh_large_gt_10ml_dice_known_pixels,calibration_edh_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_edh_large_gt_10ml_mae_ml,calibration_edh_large_gt_10ml_median_absolute_error_ml,calibration_edh_large_gt_10ml_median_relative_absolute_error,calibration_sah_dice_known_pixels,calibration_sah_study_auc,calibration_sah_mae_ml,calibration_sah_bias_ml,calibration_sah_small_le_2ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_positive_studies,calibration_sah_medium_gt_2_le_10ml_dice_known_pixels,calibration_sah_medium_gt_2_le_10ml_presence_sensitivity_at_0_1ml,calibration_sah_medium_gt_2_le_10ml_mae_ml,calibration_sah_medium_gt_2_le_10ml_median_absolute_error_ml,calibration_sah_medium_gt_2_le_10ml_median_relative_absolute_error,calibration_sah_large_gt_10ml_positive_studies,calibration_sah_large_gt_10ml_dice_known_pixels,calibration_sah_large_gt_10ml_presence_sensitivity_at_0_1ml,calibration_sah_large_gt_10ml_mae_ml,calibration_sah_large_gt_10ml_median_absolute_error_ml,calibration_sah_large_gt_10ml_median_relative_absolute_error
1,0.00019510565162951537,0.355272365878336,1.7682650266307416,0.7654682734225056,0.9571361769937446,0.30165514638862595,0.755009602607772,2.810628187636731,0.0,2.0009312942968345,1.6061253380952496,2.3957372465149405,0.48142614231295383,0.1947735642059776,0.8539426523297491,0.7874525753382764,0.7878787878787878,0.25,18.021007800160056,-11.048737433817507,0.14307024992541253,0.9806451612903225,2.3606914483641064,2.3606914483641064,1.0,0.0,1.0,10.116055751103127,10.116055751103127,8.398091894554076,2.0,0.11771512728802862,1.0,23.661587845216612,23.661587845216612,7.2613330771504625,2.0,0.21849170244121227,1.0,22.701985720098474,22.701985720098474,0.35760835098724864,0.5877708227224371,0.9824797843665769,5.172156100420455,0.7016508085025381,0.0,5.0,0.32736718210966353,1.0,8.26017919473829,3.3920941145905967,0.6643940849923993,9.0,0.6327381516427285,1.0,28.903751521760675,16.36821387358417,0.6142624103204783,0.0,0.5747126436781609,8.975160111315297,-8.975160111315297,0.0,2.0,0.0,0.0,2.9148997640000003,2.9148997640000003,1.0,7.0,0.0,0.0,85.07227541858927,68.61408652800002,1.0,0.24240363718784583,0.7883141762452107,6.119586023385796,-3.2620475315785855,1.0,0.0,1.0,0.4911728505981676,0.4911728505981676,0.4171414890929744,0.0,8.0,0.29481587183187663,0.875,39.224193905088576,34.12390117632786,0.9083090581350503,0.0006231111941926037,0.6111111111111112,1.8962353657677375,-1.8738720477902673,0.0,2.0,0.0,0.5,3.869642975414624,3.869642975414624,0.825794025128326,2.0,0.000691013371108731,0.5,59.279656201681945,59.279656201681945,0.9975343665162184
2,0.00018090169943749473,0.4322612197345973,0.8797348845909925,0.5600824722460788,0.7297624270908116,0.2238881934999731,0.14752092162030364,1.189258491540506,0.0,0.14891856871914155,0.10958988541927767,0.18824725237862505,0.5618230591431252,0.3094110275974228,0.8835125448028673,0.843954870157884,0.7407407407407407,0.5555555555555556,14.53785255287245,1.3170210886100657,0.39812262381767316,0.9580645161290322,3.2827966883081383,3.2827966883081383,1.0,0.0,1.0,1.910088783013785,1.910088783013785,1.5857070701451492,2.0,0.14500762195121952,1.0,26.020863544344078,26.020863544344078,8.64144536097409,2.0,0.5549769056697356,1.0,67.48820242706732,67.48820242706732,1.2998191294501948,0.5820576160836292,0.8921832884097036,4.7761194186538996,0.7578114582355446,0.0,5.0,0.2653261568667276,0.6,12.897757585193602,5.105545325,0.9982035085456951,9.0,0.6677150029616675,1.0,16.086468179818674,12.365694092814227,0.47573410087066287,0.10464619098610949,0.7720306513409961,9.941581224631078,-6.198361905635765,0.0,2.0,0.0,0.5,5.2611547130268885,5.2611547130268885,1.7230236882537586,7.0,0.12816401434754804,0.7142857142857143,76.87190784570559,67.32223582702555,0.9811722232803131,0.38221675200602256,0.8812260536398467,5.169288716862664,-1.906976242763595,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.44501641716289164,1.0,31.854374921064675,25.572056475516952,0.8322842366693453,0.08001195509367937,0.7162698412698414,6.374686858099899,5.381751090465742,0.0,2.0,0.10849848841115217,1.0,29.439911615661824,29.439911615661824,8.011552286093885,2.0,0.19933206477418353,1.0,26.08667374535786,26.08667374535786,0.46320800282269026
3,0.00015877852522924732,0.5174757407260848,0.603806934980276,0.4236550115221011,0.5500690217065339,0.16976065177581098,0.13387867194222342,0.6722396343897278,0.0,0.08061343222770459,0.05495623274469631,0.10627063145559809,0.6212184011454385,0.4115930409702431,0.8844086021505376,0.8634643197776238,0.821917808219178,0.3333333333333333,12.895111682994818,-5.933768671046237,0.6143594605983986,0.9870967741935484,0.3989374619688419,-0.3539902244648052,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.41648230088495575,1.0,1.4667738424762697,1.4667738424762697,0.5794077512816274,2.0,0.6454666469457181,1.0,11.175716262757323,11.175716262757323,0.35445638352716596,0.6521636221458553,0.9171159029649596,4.301290615096553,0.5054121659684082,0.0,5.0,0.36692704998506,1.0,6.454017459354934,2.217327931282076,0.43769817480254547,9.0,0.6881416069012958,1.0,25.43867603783063,14.555868720606075,0.5504249189201638,0.11816308150611382,0.739463601532567,8.959557799171742,-7.084217921538862,0.0,2.0,0.13452914798206278,0.5,6.4677841629941835,6.4677841629941835,2.0948595263125322,7.0,0.12435426071578164,0.7142857142857143,76.41167809997218,68.6096009352883,0.9453536042056729,0.5355717235276767,0.8045977011494253,3.8475029033419874,0.11987713283544364,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.6540239407364719,0.875,15.626939348322425,5.770026685717969,0.11837459756461015,0.13770731707317074,0.8690476190476191,2.1029441999097624,0.8791501761535774,0.0,2.0,0.13070491677533175,1.0,10.909307517495598,10.909307517495598,2.0161096286707982,2.0,0.20605617760202877,1.0,19.51591412265495,19.51591412265495,0.36724601542315705
4,0.00013090169943749474,0.5246650350009001,0.46298875076936025,0.3563547235215851,0.4669053271265313,0.13676555054231543,0.0999665799429302,0.39094521509304414,0.0,0.0593181508239789,0.037404756931581906,0.08123154472252324,0.6134509477624055,0.3842712041099911,0.8920250896057348,0.8966283908012663,0.8695652173913043,0.2222222222222222,12.181776749957464,-5.654806789495846,0.4757471702912374,0.9774193548387097,2.5417480303994084,2.5417480303994084,1.0,0.0,1.0,0.5011397375493885,0.5011397375493885,0.4160334493504089,2.0,0.3316279069767442,1.0,7.276145544516963,7.276145544516963,2.3287953351819044,2.0,0.510443439983456,1.0,75.91665407039271,75.91665407039271,1.1292531197580187,0.6049699664656242,0.9703504043126685,4.445214312225721,-0.3314415205084687,0.0,5.0,0.3640772708590218,0.8,8.288259592033564,2.713422927335065,0.5314658385360755,9.0,0.6653722918921213,1.0,20.446434953497526,13.828124468949088,0.4043039754316249,0.22110947700975014,0.7854406130268199,8.672898426280176,-6.157382634430206,0.0,2.0,0.29303621169916433,0.5,1.5938872249094116,1.5938872249094116,0.5929157832404879,7.0,0.24400327625882445,1.0,70.51809158342556,60.72841454080172,0.8850721129402442,0.5592565205700457,0.8352490421455938,3.2266770814666783,-1.0270938466064867,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.619402151658415,1.0,18.01703180269947,9.766800188648126,0.2718432972270893,0.060272886213298245,0.9146825396825397,2.6454871497499113,-0.6806368183500947,0.0,2.0,0.1031031031031031,0.5,4.552182878053406,4.552182878053406,1.0459974413796918,2.0,0.07932510702593805,0.5,54.62551146567509,54.62551146567509,0.906579238374318
5,9.999999999999999e-05,0.5351320394612297,0.3550652721435717,0.28775553388072317,0.3774102582003024,0.10990426314129455,0.07944765657692895,0.24600018544767016,0.0,0.038731271774883044,0.020826118001783505,0.05663642543905934,0.6249467034953555,0.4162737872147364,0.8902329749103942,0.8595081870275483,0.8450704225352113,0.2777777777777778,10.813528424920111,-7.969244131747485,0.6601985559566786,0.964516129032258,0.317330127527962,-0.22909484122234308,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.490537084398977,1.0,1.3251879676393779,1.3251879676393779,0.4782273255118116,2.0,0.6980986418870622,1.0,7.99161822020962,7.99161822020962,0.1632821439324213,0.6568944297635818,0.9353099730458222,4.275625643087221,0.19046265183952885,0.0,5.0,0.35769907058528005,1.0,8.255062759793935,3.0205022858271118,0.5916120793281003,9.0,0.7116644732285101,1.0,20.732726603699657,14.624577828485915,0.453118394078104,0.3781437860385229,0.7155172413793104,8.46586851894152,-2.5630140448677725,0.0,2.0,0.3738680465717982,0.5,2.1523458365113752,2.1523458365113752,0.7650108086617418,7.0,0.44952414444908456,1.0,52.16612488779837,42.623683383620545,0.6411681747988681,0.37786518966290183,0.8151340996168582,4.542319806913115,-3.5270874697608914,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.3948052340515548,0.5,33.6434588430724,31.736737665660154,0.9947229331319176,0.008266974651996838,0.8670634920634921,1.9208564748358532,-1.8405104277360067,0.0,2.0,0.0,0.5,3.889964029333075,3.889964029333075,0.9416518434060308,2.0,0.009356081452944413,0.5,59.11293158874557,59.11293158874557,0.9936528065637871
6,6.909830056250526e-05,0.542388844052178,0.30300645326132036,0.24985054447607632,0.3310759486538349,0.09100446635365438,0.05599246983875124,0.19367980706417134,0.0,0.03157305796384787,0.01611223981274667,0.04703387587174478,0.638942202740022,0.43433818132943297,0.8920250896057349,0.882991174180756,0.8450704225352113,0.2777777777777778,12.12717773511543,-8.139692234489056,0.6424721523535752,0.9467741935483871,0.18695248549476978,0.08695638176629755,1.0,0.0,1.0,0.11922680947479014,0.11922680947479014,0.09897906129615702,2.0,0.4463253509496284,1.0,2.8791320086605463,2.8791320086605463,0.888275648160477,2.0,0.6964238689629747,1.0,2.3787662897340915,2.3787662897340915,0.06504185162410239,0.66863696872769,0.9690026954177899,3.630670261186239,-0.287563453876962,0.0,5.0,0.36179001721170395,1.0,7.555109376120953,2.654071454685342,0.5198409348535834,9.0,0.7190422354353349,1.0,17.344252097654547,11.275372787575346,0.47615363720583914,0.3119684428939508,0.7375478927203065,9.356861543179006,-3.555560607529203,0.0,2.0,0.35566188197767146,0.5,2.5899731611476167,2.5899731611476167,0.899870373889448,7.0,0.37872963792325776,1.0,61.42591458638929,49.17352771541901,0.7787552292372145,0.5420905127672826,0.8687739463601533,3.4002126237542454,-2.4899933128045912,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5593300890938665,0.75,24.518053231340126,23.175908198610237,0.5857927900517805,0.006522829904666332,0.8928571428571428,1.8935312420445976,-1.8935312420445976,0.0,2.0,0.0,0.0,4.26026474,4.26026474,1.0,2.0,0.007162287800006887,0.5,59.17303186849401,59.17303186849401,0.9947044731498635
7,4.122147477075269e-05,0.5523450370540691,0.2630143119606248,0.22872526296983064,0.30325941638191145,0.08429120252870957,0.04209458295362709,0.12156575067868111,0.0,0.025984071990053967,0.01207262644215361,0.03989551730358684,0.6458370764929601,0.4395311826627977,0.8960573476702508,0.901851478182307,0.8571428571428571,0.25,11.794773554234665,-9.518171667717636,0.6708334270104993,0.9709677419354839,0.2649505928878012,0.0861611050766903,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.451507446422085,1.0,3.642252545818648,3.642252545818648,1.0554160859633508,2.0,0.7172225718481225,1.0,4.150750648983564,4.150750648983564,0.11456061027408036,0.6703914433716894,0.9703504043126685,3.457918700727012,-0.1894278588025938,0.0,5.0,0.38703339882121807,1.0,7.2531650593835995,2.4682755403035994,0.4834499320214339,9.0,0.7191506981826027,1.0,16.393317485802307,11.001749416544211,0.5188459619269492,0.28529860256797474,0.7940613026819924,8.535386096797382,-5.591043604350245,0.0,2.0,0.30562659846547313,0.5,2.11197533446786,2.11197533446786,0.7525702044144221,7.0,0.32120906128341753,0.7142857142857143,67.00163490278712,61.3070560006132,0.9072552916515847,0.5355059784193642,0.8869731800766284,3.5905896553288272,-2.0185397106255683,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5815211654175024,0.875,23.341045091934028,18.156957116870473,0.4299537227380499,0.035626461944461105,0.8869047619047619,1.8350881365986174,-1.805321599015921,0.0,2.0,0.0,0.5,4.173818232631763,4.173818232631763,0.9863786533386901,2.0,0.03953410981697172,1.0,56.803044838911745,56.803044838911745,0.958018756073437
8,1.9098300562505263e-05,0.5610902121940231,0.23817332649585043,0.21474084339224467,0.2854422490195473,0.07903098563045853,0.030850877971622767,0.08146868558374239,0.0,0.02043541302353531,0.009866738739279759,0.031004087251408192,0.6471234242223409,0.43960320141596787,0.8996415770609318,0.9029946021685269,0.8695652173913043,0.2222222222222222,11.26718275209637,-7.47507604561367,0.6428857314388633,0.9806451612903225,0.38724373985910066,-0.24066784103255925,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.547945205479452,1.0,2.489754444003067,2.489754444003067,0.738217561596358,2.0,0.6696922092279048,1.0,9.553926669507764,9.553926669507764,0.20073255943395718,0.6809052967703986,0.9743935309973046,4.58021014050631,1.8195805075722058,0.0,5.0,0.39507218479307027,1.0,8.085510399412005,2.2618356354349967,0.4430154844301567,9.0,0.7378458632677444,1.0,22.17622196488581,12.47120393047894,0.3955990967381127,0.2876088306212911,0.7911877394636015,8.82630468615503,-5.333629305158283,0.0,2.0,0.3942573163997791,0.5,1.5580023342040645,1.5580023342040645,0.5818574683539816,7.0,0.328626422789604,1.0,67.32025486294113,63.60367946901225,0.9139691224701458,0.5572293329317873,0.8917624521072797,3.372820258845885,-1.8797317102514834,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5983584821457445,0.75,22.041497522585644,16.723824956963625,0.4416803135585343,0.029386815317498788,0.876984126984127,1.8716980044260838,-1.8406276967435513,0.0,2.0,0.0,0.5,4.141562073166003,4.141562073166003,0.9812960613008879,2.0,0.032668732318469625,1.0,58.039893421425376,58.039893421425376,0.973384785910617
9,4.894348370484646e-06,0.5681255080859146,0.21276523252770846,0.19241288641203355,0.255753221881665,0.07155495365119537,0.022581304608699757,0.06847862225748694,0.0,0.02155126682321292,0.010012947178999785,0.03308958641699863,0.655008208470584,0.4499300534022098,0.9059139784946236,0.9051499036732105,0.8695652173913043,0.2222222222222222,11.32951136528919,-8.012921336001275,0.6673876411559065,0.9806451612903226,0.40072127352560105,-0.2526165556769433,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.5230706410779911,1.0,2.7801072769946966,2.7801072769946966,0.8430351619736254,2.0,0.6997052213758281,1.0,9.85724292274519,9.85724292274519,0.22141882019455855,0.6814712691819949,0.967654986522911,4.190452587953786,1.055210324313346,0.0,5.0,0.38644231543353996,1.0,7.665663514878242,2.5947199820356186,0.5082160311710912,9.0,0.7346048725627379,1.0,20.481353812700775,16.404306940537342,0.4407366673622075,0.3264411637841072,0.7998084291187739,8.551162699293121,-4.892394432151717,0.0,2.0,0.3695090439276486,0.5,2.147860225173207,2.147860225173207,0.7636285193009285,7.0,0.3750397066333198,0.8571428571428571,63.72334906472224,60.22602815708943,0.8777501997714772,0.5423240885927088,0.89272030651341,3.495048972456737,-2.0959409087213356,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5833882402551195,0.75,23.265085999433175,18.620771476563355,0.4830262219890777,0.032026104296332104,0.884920634920635,1.861795557544341,-1.827179763764626,0.0,2.0,0.0,0.5,4.136401087651482,4.136401087651482,0.9804828465748396,2.0,0.03567462053646552,1.0,57.65393554427371,57.65393554427371,0.9706236349296209
10,0.0,0.5567496629608274,0.20915805059100928,0.19199501179625886,0.256555431156662,0.0699283612116698,0.01518124852232672,0.05822539686876706,0.0,0.01737792834081678,0.008089838086330814,0.026666018638718356,0.6482431476356725,0.4356572362265796,0.9086021505376345,0.907006816998422,0.8695652173913043,0.2222222222222222,12.029980570338385,-9.12135960093084,0.6592350067560545,0.9741935483870968,0.47711211408357485,-0.3443628024805508,1.0,0.0,0.0,1.204565975,1.204565975,1.0,2.0,0.533106960950764,1.0,2.573951409678868,2.573951409678868,0.7990880529804044,2.0,0.6891166716912873,1.0,12.629670759178243,12.629670759178243,0.2725022153997002,0.677298460578262,0.9676549865229112,3.986668633095201,0.7945136973187262,0.0,5.0,0.38295800365185634,1.0,7.678219498168318,2.780515896417361,0.5446070340032406,9.0,0.7318960054936487,1.0,18.882043283799888,15.46787544710412,0.4307954704895195,0.2784434131725438,0.807471264367816,8.681855722945654,-5.738034666331762,0.0,2.0,0.28114126652748783,0.5,2.396811654441552,2.396811654441552,0.8403455788260656,7.0,0.31413075898689724,0.8571428571428571,68.32467210455863,66.97235959551163,0.9280838998925197,0.5383885109599396,0.8888888888888888,3.5561529641447853,-1.9959278216451588,1.0,0.0,0.0,1.1774730240000002,1.1774730240000002,1.0,0.0,8.0,0.5859443380518976,0.75,23.10215416249539,18.282357882113576,0.463295545774528,0.024920789666097978,0.8968253968253969,1.8712761553848796,-1.837548007792095,0.0,2.0,0.0,0.0,4.248652522592327,4.248652522592327,0.9981702668663912,2.0,0.02769220352753986,1.0,57.874152210621986,57.874152210621986,0.9758315286555304
