strategy,volume_bin,studies,positive_slices,positive_slice_weight_mass,expected_positive_draws_per_epoch,median_expected_draws_per_study,median_volume_ml,positive_sampling_mass_fraction
current,large_gt_10ml,22,249,871.2562945045987,567.9420579326123,23.221099469735282,24.231805086135864,0.7527723685545812
current,medium_2_to_10ml,12,77,270.487616001891,176.32158785693497,14.374966338407555,6.371465545242398,0.2337034517245038
current,small_le_2ml,2,4,15.652841685041304,10.203549948698608,5.101774974349304,1.8678366720000004,0.013524179720914752
study_balance_p0p5,large_gt_10ml,22,249,831.7498418352759,542.1891581577067,23.738588115241193,24.231805086135864,0.704182268377993
study_balance_p0p5,medium_2_to_10ml,12,77,321.6168474050139,209.65097794198883,16.89266058100354,6.371465545242398,0.27228965941792654
study_balance_p0p5,small_le_2ml,2,4,27.79034805790969,18.115573530114105,9.057786765057052,1.8678366720000004,0.023528072204080368
study_balance_p0p75,large_gt_10ml,22,249,814.5983389050075,531.0086824098755,23.50442749470341,24.231805086135864,0.6790120243200317
study_balance_p0p75,medium_2_to_10ml,12,77,345.6652877039176,225.3273303076208,17.70469621891398,6.371465545242398,0.28813081924093337
study_balance_p0p75,small_le_2ml,2,4,39.41813119315944,25.695326037707613,12.847663018853806,1.8678366720000004,0.032857156439034876
study_balance_p1p0,large_gt_10ml,22,249,792.0677637100468,516.3217741793792,21.855035991747137,24.231805086135864,0.6521653127668848
study_balance_p1p0,medium_2_to_10ml,12,77,366.7357185618502,239.06242058870217,18.159816288603174,6.371465545242398,0.3019594099858246
study_balance_p1p0,small_le_2ml,2,4,55.71643806794797,36.31963257720635,18.159816288603174,1.8678366720000004,0.04587527724729085
