fold,subtype,studies,patients,positive_studies,prevalence,isolated_positive_studies,volume_ml_min,volume_ml_q25,volume_ml_median,volume_ml_q75,volume_ml_max,volume_ml_mean,positive_slices_min,positive_slices_median,positive_slices_max,positive_fraction_below_0p1ml,positive_fraction_below_0p5ml,positive_fraction_below_1p0ml,positive_fraction_below_2p0ml
0,IVH,70,66,13,0.18571428571428572,0,3.496761520000001,9.41678271,13.856334336000003,21.01310379907632,67.58206122804506,19.229698811507916,4.0,9.0,11.0,0.0,0.0,0.0,0.0
0,IPH,70,66,26,0.37142857142857144,11,1.6172732160000003,12.617131548553466,26.282825974472832,45.439492268500004,121.25230591878127,38.51092183704237,2.0,8.0,27.0,0.0,0.0,0.0,0.038461538461538464
0,SDH,70,66,9,0.12857142857142856,5,0.4754300017457301,1.4333831099999998,9.537795375083295,58.66968393325806,244.53173248000004,50.77992654193919,1.0,9.0,19.0,0.0,0.1111111111111111,0.2222222222222222,0.4444444444444444
0,EDH,70,66,0,0.0,0,,,,,,,,,,,,,
0,SAH,70,66,6,0.08571428571428572,1,1.9468288,2.97479958725,3.3371787430444337,8.804494310272217,73.77790196,15.980004602348146,3.0,6.0,14.0,0.0,0.0,0.0,0.16666666666666666
1,IVH,67,61,5,0.07462686567164178,0,1.204565975,2.01802601,3.8063916329526575,22.916432448000002,76.19537510040283,21.228158233271095,3.0,3.0,15.0,0.0,0.0,0.0,0.2
1,IPH,67,61,14,0.208955223880597,7,3.325767984,6.998134937421243,18.612570176000002,46.16162311453293,253.25365033435818,44.27136382748416,3.0,7.5,16.0,0.0,0.0,0.0,0.0
1,SDH,67,61,9,0.13432835820895522,9,2.584739944,11.574980352000003,66.47816448,122.5720580951249,157.342524465,66.81508082868055,1.0,9.0,21.0,0.0,0.0,0.0,0.0
1,EDH,67,61,9,0.13432835820895522,7,1.1774730240000002,32.236828416,40.3074,52.58812427520752,92.988112864,45.64943204480083,4.0,10.0,14.0,0.0,0.0,0.0,0.1111111111111111
1,SAH,67,61,4,0.05970149253731343,0,2.17413,5.3033321099999995,28.92755955411503,55.47725865226576,67.38287572437285,31.85303120815073,3.0,14.5,20.0,0.0,0.0,0.0,0.0
2,IVH,67,64,12,0.1791044776119403,3,0.3048814080000001,1.478247306,3.1178087550000004,7.421548023126022,21.017844612354143,5.350553195458738,1.0,3.5,8.0,0.0,0.08333333333333333,0.25,0.3333333333333333
2,IPH,67,64,21,0.31343283582089554,9,0.8725916160000001,10.23280128,39.58582878112793,77.42061793344558,155.2156098731803,50.20963032702592,1.0,9.0,23.0,0.0,0.0,0.047619047619047616,0.09523809523809523
2,SDH,67,64,12,0.1791044776119403,3,2.9476895999999995,11.590884438,25.31664987177942,55.28433686385403,197.21727,47.57955375056193,4.0,10.0,20.0,0.0,0.0,0.0,0.0
2,EDH,67,64,1,0.014925373134328358,1,50.45319770399999,50.45319770399999,50.45319770399999,50.45319770399999,50.45319770399999,50.45319770399999,9.0,9.0,9.0,0.0,0.0,0.0,0.0
2,SAH,67,64,3,0.04477611940298507,0,3.1627065600000006,5.753637184,8.344567807999999,11.030347970127895,13.716128132255793,8.407800833418598,2.0,4.0,18.0,0.0,0.0,0.0,0.0
3,IVH,66,64,13,0.19696969696969696,0,1.8871107840000003,10.328643321990967,25.579356260649412,30.96122892,84.25152512000001,28.709580856455595,3.0,13.0,19.0,0.0,0.0,0.0,0.07692307692307693
3,IPH,66,64,24,0.36363636363636365,7,2.657172343140345,13.019943825550783,37.46492363029756,54.66498044629866,185.3087854385376,46.473375947394594,3.0,9.0,12.0,0.0,0.0,0.0,0.0
3,SDH,66,64,6,0.09090909090909091,2,3.7842739200000004,14.121566001934571,18.18052470786914,24.237230966915767,116.88805770140395,32.67634897617166,3.0,8.0,19.0,0.0,0.0,0.0,0.0
3,EDH,66,64,4,0.06060606060606061,1,25.587259776000003,26.41606581802014,48.06055227334676,81.28660045756219,116.86009168624878,59.64211400223557,7.0,9.5,14.0,0.0,0.0,0.0,0.0
3,SAH,66,64,6,0.09090909090909091,3,0.6377696990966797,5.155082022537842,10.559178320075684,14.30519652101022,34.50591705600001,12.52827153998806,3.0,6.0,11.0,0.0,0.0,0.16666666666666666,0.16666666666666666
4,IVH,68,65,10,0.14705882352941177,1,1.8485625600000004,3.7759378979440963,6.371465545242398,13.1993214725,35.56040039,10.012955675953476,1.0,7.0,15.0,0.0,0.0,0.0,0.1
4,IPH,68,65,28,0.4117647058823529,13,3.8626751599999998,7.22060105275,17.131752701480103,64.30195535793125,123.60826147849512,33.92690013223937,2.0,7.0,14.0,0.0,0.0,0.0,0.0
4,SDH,68,65,8,0.11764705882352941,2,3.2573249280000005,9.741341299427992,12.493856695875,21.246124272366213,157.26516723632812,31.976470440874945,2.0,6.0,23.0,0.0,0.0,0.0,0.0
4,EDH,68,65,2,0.029411764705882353,0,7.5537794963691685,13.467407550276878,19.381035604184586,25.294663658092297,31.208291712000005,19.381035604184586,5.0,6.5,8.0,0.0,0.0,0.0,0.0
4,SAH,68,65,4,0.058823529411764705,0,2.2669606399999997,7.025757920000001,9.397005715000002,13.355911182500002,22.87768148,10.9846633875,2.0,8.0,15.0,0.0,0.0,0.0,0.0
