candidate,challenger,mode,blended_component_count,challenger_alpha,profile,profile_family,profile_size,profile_component_ratio,profile_selector_gate,profile_min_active_slices,profile_quantile,profile_probability_weighted,profile_heatmap_guard_ratio,mae_mm,rmse_mm,bias_mm,f1_3mm,f1_5mm,boundary_f1,selection_objective,mae_pass,boundary_f1_pass,selection_objective_pass,all_release_gates_pass
baseline_exp09,none,baseline,0,0.0,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.2590358220819218,1.9763812052332201,-0.18252575228463352,0.847457627118644,0.8,0.823728813559322,1.6115781949632777,False,True,False,False
baseline_exp09,none,baseline,0,0.0,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.2667219157539198,1.9681580176488416,-0.20041338908138556,0.847457627118644,0.8235294117647058,0.8354935194416749,1.59573487687057,False,True,True,False
exp18_epoch21__full__a0p1,exp18_epoch21,full,4,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.2480847227755487,1.958134908619749,-0.20149840749869694,0.8620689655172413,0.8,0.8310344827586207,1.5860157572583073,True,True,True,True
exp18_epoch21__full__a0p1,exp18_epoch21,full,4,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.2564825435009186,1.962661413890768,-0.21144971048612302,0.8620689655172413,0.8,0.8310344827586207,1.5944135779836772,True,True,True,True
exp18_epoch21__full__a0p25,exp18_epoch21,full,4,0.25,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.2579083377078397,1.9516932149413815,-0.1597778406383386,0.8135593220338984,0.8,0.8067796610169492,1.6443490156739413,True,False,False,False
exp18_epoch21__full__a0p25,exp18_epoch21,full,4,0.25,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.275117606035809,1.9526950705206443,-0.1550095099788993,0.8135593220338984,0.8,0.8067796610169492,1.6615582840019105,False,False,False,False
exp18_epoch21__full__a0p5,exp18_epoch21,full,4,0.5,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.2561534245067567,1.976488068505549,-0.11783014744964992,0.7931034482758621,0.8,0.7965517241379311,1.6630499762308946,True,False,False,False
exp18_epoch21__full__a0p5,exp18_epoch21,full,4,0.5,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.249594310993579,1.9566467587713292,-0.1286762832260843,0.7931034482758621,0.8,0.7965517241379311,1.6564908627177168,True,False,False,False
exp18_epoch21__full__a0p75,exp18_epoch21,full,4,0.75,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.3433225592459315,2.087356877356424,-0.1086279614314214,0.7931034482758621,0.7777777777777778,0.7854406130268199,1.7724413331922917,False,False,False,False
exp18_epoch21__full__a0p75,exp18_epoch21,full,4,0.75,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.3564678930413367,2.098371269078571,-0.09014158419041485,0.8135593220338984,0.7777777777777778,0.795668549905838,1.7651307932296607,False,False,False,False
exp18_epoch21__full__a1p0,exp18_epoch21,full,4,1.0,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.3929919422562442,2.202516500123636,-0.04588870699725933,0.7857142857142857,0.7567567567567568,0.7712355212355213,1.8505208997852016,False,False,False,False
exp18_epoch21__full__a1p0,exp18_epoch21,full,4,1.0,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.4089204953677619,2.2177446748223604,-0.02810147822792849,0.8070175438596491,0.7567567567567568,0.781887150308203,1.8451461947513559,False,False,False,False
exp18_epoch21__baseline_selector__a0p1,exp18_epoch21,baseline_selector,3,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.2480847227755487,1.958134908619749,-0.20149840749869694,0.8620689655172413,0.8,0.8310344827586207,1.5860157572583073,True,True,True,True
exp18_epoch21__baseline_selector__a0p1,exp18_epoch21,baseline_selector,3,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.2564825435009186,1.962661413890768,-0.21144971048612302,0.8620689655172413,0.8,0.8310344827586207,1.5944135779836772,True,True,True,True
exp18_epoch21__baseline_selector__a0p25,exp18_epoch21,baseline_selector,3,0.25,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.271386072729061,1.9678721926405567,-0.23000373455570702,0.8275862068965517,0.8,0.8137931034482759,1.643799865832509,False,False,False,False
exp18_epoch21__baseline_selector__a0p25,exp18_epoch21,baseline_selector,3,0.25,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.28859534105703,1.9688658155789467,-0.2252354038962677,0.8275862068965517,0.8,0.8137931034482759,1.6610091341604782,False,False,False,False
