candidate,challenger,mode,blended_component_count,challenger_alpha,profile,profile_family,profile_size,profile_component_ratio,profile_selector_gate,profile_min_active_slices,profile_quantile,profile_probability_weighted,profile_heatmap_guard_ratio,mae_mm,rmse_mm,bias_mm,f1_3mm,f1_5mm,boundary_f1,selection_objective,mae_pass,boundary_f1_pass,selection_objective_pass,all_release_gates_pass
baseline_exp09,none,baseline,0,0.0,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5483543317709396,2.5451124028714527,-0.33472117310139676,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7631691465857544,True,True,False,False
baseline_exp09,none,baseline,0,0.0,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.612706669764732,2.724887982380163,-0.2703688351076041,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.8275214845795469,False,True,False,False
exp20_epoch21__full__a0p01,exp20_epoch21,full,4,0.01,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5479824584989403,2.5456889014514017,-0.3421604437258707,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7627972733137551,True,True,False,False
exp20_epoch21__full__a0p01,exp20_epoch21,full,4,0.01,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6120849195878892,2.7213790461278182,-0.27805798263692155,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.826899734402704,False,True,False,False
exp20_epoch21__full__a0p025,exp20_epoch21,full,4,0.025,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5471588823332714,2.5467705752218617,-0.3530535834049112,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7619736971480862,True,True,False,False
exp20_epoch21__full__a0p025,exp20_epoch21,full,4,0.025,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6108865280649554,2.7163621107003646,-0.2893259376732271,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.8257013428797702,False,True,False,False
exp20_epoch21__full__a0p05,exp20_epoch21,full,4,0.05,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5388123248940082,2.546052919180548,-0.36423488570683055,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7691153551970387,True,False,False,False
exp20_epoch21__full__a0p05,exp20_epoch21,full,4,0.05,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.601915278363584,2.705746397077573,-0.30113193223725526,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8322183086666144,False,False,False,False
exp20_epoch21__full__a0p075,exp20_epoch21,full,4,0.075,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.551674757786651,2.5557862212474913,-0.39647498424373434,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7819777880896814,False,False,False,False
exp20_epoch21__full__a0p075,exp20_epoch21,full,4,0.075,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6141530189941178,2.7051333821425048,-0.3339967230362676,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8444560492971482,False,False,False,False
exp20_epoch21__full__a0p1,exp20_epoch21,full,4,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5492602711293235,2.5591334811265325,-0.4132230036294282,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.779563301432354,False,False,False,False
exp20_epoch21__full__a0p1,exp20_epoch21,full,4,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6111138400746818,2.6986705714395143,-0.35136943468407017,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8414168703777123,False,False,False,False
exp20_epoch21__baseline_selector__a0p01,exp20_epoch21,baseline_selector,3,0.01,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5479824584989403,2.5456889014514017,-0.3421604437258707,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7627972733137551,True,True,False,False
exp20_epoch21__baseline_selector__a0p01,exp20_epoch21,baseline_selector,3,0.01,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6120849195878892,2.7213790461278182,-0.27805798263692155,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.826899734402704,False,True,False,False
exp20_epoch21__baseline_selector__a0p025,exp20_epoch21,baseline_selector,3,0.025,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5471588823332714,2.5467705752218617,-0.3530535834049112,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7619736971480862,True,True,False,False
exp20_epoch21__baseline_selector__a0p025,exp20_epoch21,baseline_selector,3,0.025,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6108865280649554,2.7163621107003646,-0.2893259376732271,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.8257013428797702,False,True,False,False
exp20_epoch21__baseline_selector__a0p05,exp20_epoch21,baseline_selector,3,0.05,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5388123248940082,2.546052919180548,-0.36423488570683055,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7691153551970387,True,False,False,False
exp20_epoch21__baseline_selector__a0p05,exp20_epoch21,baseline_selector,3,0.05,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.601915278363584,2.705746397077573,-0.30113193223725526,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8322183086666144,False,False,False,False
exp20_epoch21__baseline_selector__a0p075,exp20_epoch21,baseline_selector,3,0.075,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.551674757786651,2.5557862212474913,-0.39647498424373434,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7819777880896814,False,False,False,False
exp20_epoch21__baseline_selector__a0p075,exp20_epoch21,baseline_selector,3,0.075,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6141530189941178,2.7051333821425048,-0.3339967230362676,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8444560492971482,False,False,False,False
exp20_epoch21__baseline_selector__a0p1,exp20_epoch21,baseline_selector,3,0.1,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5492602711293235,2.5591334811265325,-0.4132230036294282,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.779563301432354,False,False,False,False
exp20_epoch21__baseline_selector__a0p1,exp20_epoch21,baseline_selector,3,0.1,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6111138400746818,2.6986705714395143,-0.35136943468407017,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8414168703777123,False,False,False,False
exp20_epoch21__baseline_selector_peak__a0p01,exp20_epoch21,baseline_selector_peak,2,0.01,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5479824584989403,2.5456889014514017,-0.3421604437258707,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7627972733137551,True,True,False,False
exp20_epoch21__baseline_selector_peak__a0p01,exp20_epoch21,baseline_selector_peak,2,0.01,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6120849195878892,2.7213790461278182,-0.27805798263692155,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.826899734402704,False,True,False,False
exp20_epoch21__baseline_selector_peak__a0p025,exp20_epoch21,baseline_selector_peak,2,0.025,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5471588823332714,2.5467705752218617,-0.3530535834049112,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.7619736971480862,True,True,False,False
exp20_epoch21__baseline_selector_peak__a0p025,exp20_epoch21,baseline_selector_peak,2,0.025,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.6108865280649554,2.7163621107003646,-0.2893259376732271,0.8518518518518519,0.9333333333333333,0.8925925925925926,1.8257013428797702,False,True,False,False
exp20_epoch21__baseline_selector_peak__a0p05,exp20_epoch21,baseline_selector_peak,2,0.05,locked_production,severity_window,3,0.0,0.5,3,0.75,True,0.0,1.5388123248940082,2.546052919180548,-0.36423488570683055,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.7691153551970387,True,False,False,False
exp20_epoch21__baseline_selector_peak__a0p05,exp20_epoch21,baseline_selector_peak,2,0.05,locked_guard_05_diagnostic,severity_window,3,0.0,0.5,3,0.75,True,0.5,1.601915278363584,2.705746397077573,-0.30113193223725526,0.8363636363636363,0.9333333333333333,0.8848484848484848,1.8322183086666144,False,False,False,False
